Year,2009,2008
Operating Cash Flow,"127,053,000","21,668,000"
Captial Expenditure,"46,160,000","102,450,000"
Cashflow from Investing,"-46,385,000","-103,838,000"
Cash Flow from Financing,"-250,260,000","122,101,000"
Net Change,"-169,592,000","39,931,000"
Opening Cash,"-163,548,000","-203,480,000"
Closing Cash,"-333,140,000","-163,549,000"
FCFF,"80,893,000","-80,782,000"
FCFE,"-169,367,000","41,319,000"
