Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"21,220,135,000","17,833,540,000","17,404,708,000","16,088,302,000","15,862,743,000","15,302,242,000","14,250,439,000","11,146,698,000","12,037,253,000","10,693,338,000","8,458,899,000","7,558,322,000"
COGS,"17,659,063,000","15,355,788,000","14,823,393,000","13,048,866,000","13,132,754,000","13,395,079,000","12,116,187,000","9,310,049,000","10,213,705,000","8,692,529,000","7,198,993,000","6,395,622,000"
Gross Profit,"3,561,072,000","2,477,752,000","2,581,315,000","3,039,436,000","2,729,989,000","1,907,163,000","2,134,252,000","1,836,649,000","1,823,548,000","2,000,809,000","1,259,906,000","1,162,700,000"
Administrative Expenses,"552,220,000","494,532,000","460,681,000","401,099,000","366,754,000","316,152,000","258,398,000","210,356,000","218,739,000","195,103,000","175,965,000","149,542,000"
Selling & Distributive Expenses,"561,181,000","495,766,000","538,294,000","574,226,000","620,281,000","573,592,000","438,598,000","402,526,000","425,063,000","397,818,000","464,848,000","381,161,000"
Financial Charges,"411,111,000","362,200,000","267,593,000","337,357,000","490,917,000","565,384,000","640,543,000","870,740,000","1,037,294,000","1,072,768,000","1,260,230,000","882,335,000"
Other Income,"608,755,000","1,183,527,000","1,725,445,000","1,067,529,000","1,229,860,000","871,815,000","52,455,000","67,273,000","595,770,000","78,651,000","138,742,000","403,301,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"364,380,000","154,690,000","137,681,000","166,105,000","75,591,000","35,258,000","50,733,000","116,011,000","49,432,000","37,323,000","34,281,000","22,158,000"
EBITDA,"3,222,592,000","3,016,892,000","3,612,656,000","3,329,923,000","3,226,663,000","2,176,278,000","1,768,250,000","1,525,553,000","2,084,102,000","1,820,834,000","1,093,170,000","1,376,993,000"
EBIT,"2,692,046,000","2,516,291,000","3,170,104,000","2,965,535,000","2,897,223,000","1,853,976,000","1,438,978,000","1,175,029,000","1,726,084,000","1,449,216,000","723,554,000","1,013,140,000"
EBT,"2,280,935,000","2,154,091,000","2,902,511,000","2,628,178,000","2,406,306,000","1,288,592,000","798,435,000","304,289,000","688,790,000","376,448,000","-536,676,000","130,805,000"
Tax,"530,291,000","489,769,000","550,732,000","495,963,000","319,473,000","118,940,000","313,903,000","187,860,000","200,939,000","98,587,000","-96,865,000","134,325,000"
PAT,"1,750,644,000","1,664,322,000","2,351,779,000","2,132,215,000","2,086,833,000","1,169,652,000","484,532,000","116,429,000","487,851,000","277,861,000","-439,811,000","-3,520,000"
EPS,5.85,5.64,8.33,7.55,8.5,4.76,1.97,0.47,2.2,1.91,-3.02,-0.02
