Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Long Term Loans & Advances,0,0,0,0,0,0,0,0,0,0,0
Investments,"41,287,674,000","45,051,107,000","37,493,025,000","37,478,025,000","37,573,738,000","20,744,752,000","20,507,191,000","19,727,295,000","19,407,436,000","21,729,893,000","22,689,276,000"
Fixed Assets,"166,633,000","137,107,000","156,898,000","125,761,000","130,733,000","77,926,000","57,607,000","65,227,000","42,809,000","2,238,222,000","2,074,997,000"
Cash in Hand and Bank,"337,103,000","235,170,000","229,064,000","286,288,000","1,008,059,000","10,253,000","13,727,000","6,387,000","435,445,000","1,250,263,000","278,145,000"
Current Assets,"17,392,754,000","23,887,713,000","312,213,000","346,627,000","1,164,490,000","210,354,000","37,840,000","19,288,000","1,488,822,000","5,696,443,000","5,986,702,000"
Total Assets,"42,257,680,000","47,333,747,000","39,600,886,000","37,950,413,000","38,871,555,000","20,858,166,000","20,602,905,000","19,811,810,000","19,967,249,000","27,226,307,000","27,354,084,000"
Total Non Current Liabilities,"7,418,473,000",0,0,0,0,0,0,0,0,0,0
Total Current Liabilities,"3,235,484,000","2,897,681,000","1,691,636,000","3,984,508,000","1,186,570,000","757,342,000","818,724,000","101,781,000","111,701,000","2,319,925,000","2,983,100,000"
Total Liabilities,"10,653,957,000","12,369,321,000","6,834,714,000","7,111,557,000","5,076,300,000","1,000,350,000","1,124,044,000","276,046,000","118,210,000","7,681,979,000","9,499,395,000"
Paid Up Capital,"4,812,871,000","4,812,871,000","4,812,871,000","4,812,871,000","4,812,871,000","4,812,871,000","4,812,871,000","4,812,871,000","4,812,871,000","1,203,217,000","1,093,834,000"
Reserves,"26,790,852,000","30,151,555,000","27,953,301,000","26,025,985,000","28,982,384,000","15,044,945,000","14,665,990,000","14,721,624,000","15,036,168,000","18,341,111,000","16,760,855,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"31,603,723,000","34,964,426,000","32,766,172,000","30,838,856,000","33,795,255,000","19,857,816,000","19,478,861,000","19,535,764,000","19,849,039,000","19,544,328,000","17,854,689,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"481,287,100","481,287,100","481,287,100","481,287,116","481,287,116","481,287,116","481,287,116","481,287,116","481,287,116","120,321,779","109,383,436"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,"1,269,000",0,0,0
