Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Operating Cash Flow,"80,965,000","130,865,000","-152,572,000","44,134,000","-9,063,000","-58,946,000","537,076,000","62,828,000","436,031,000","238,921,000","-27,514,000","178,079,000"
Captial Expenditure,"56,299,000","-208,624,000","25,885,000","9,153,000","23,346,000","38,534,000","86,989,000","108,135,000","324,038,000","334,222,000","269,578,000","83,100,000"
Cashflow from Investing,"-56,465,000","-34,563,000","-28,194,000","-9,153,000","-23,346,000","-31,510,000","-86,989,000","-107,418,000","-324,159,000","-344,066,000","-256,547,000","-83,100,000"
Cash Flow from Financing,"-19,994,000","1,474,000","-15,360,000","63,505,000","-50,766,000","-35,798,000","-209,927,000","-11,955,000","-112,068,000","124,711,000","234,632,000","-52,179,000"
Net Change,"4,506,000","97,776,000","-196,126,000","98,486,000","-83,175,000","-126,254,000","240,160,000","-56,545,000","-196,000","19,566,000","-49,429,000","42,800,000"
Opening Cash,"5,922,000","-91,853,000","104,273,000","5,787,000","88,962,000","215,216,000","-24,944,000","31,601,000","31,797,000","12,231,000","61,660,000","18,860,000"
Closing Cash,"10,428,000","5,923,000","-91,853,000","104,273,000","5,787,000","88,962,000","215,216,000","-24,944,000","31,601,000","31,797,000","12,231,000","61,660,000"
FCFF,"24,666,000","339,489,000","-178,457,000","34,981,000","-32,409,000","-97,480,000","450,087,000","-45,307,000","111,993,000","-95,301,000","-297,092,000","94,979,000"
FCFE,"4,672,000","340,963,000","-193,817,000","98,486,000","-83,175,000","-133,278,000","240,160,000","-57,262,000","-75,000","29,410,000","-62,460,000","42,800,000"
