Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"5,080,282,000","5,201,352,000","5,467,233,000","5,634,691,000","5,761,758,000","5,963,066,000","6,143,804,000","6,517,521,000","4,982,832,000","5,058,962,000","1,737,536,000","1,243,886,000"
Investments,"242,121,000","243,187,000","2,309,000",0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"10,428,000","40,951,000","68,147,000","104,273,000","5,787,000","88,962,000","215,216,000","29,190,000","31,601,000","31,797,000","12,231,000","61,660,000"
Stores and Spares,"71,583,000","72,984,000","78,829,000","81,376,000","97,521,000","73,966,000","83,546,000","69,809,000","47,686,000","53,481,000","51,500,000","39,789,000"
Stock in Trade,"1,470,640,000","1,211,228,000","1,272,776,000","1,258,474,000","901,281,000","901,521,000","489,369,000","1,152,216,000","746,597,000","832,643,000","779,263,000","172,381,000"
Trade Debts,"71,201,000","103,498,000","120,818,000","88,656,000","421,027,000","102,396,000","179,542,000","127,693,000","191,980,000","96,457,000","128,827,000","100,585,000"
Current Assets,"1,742,808,000","1,592,481,000","1,736,851,000","1,706,165,000","1,499,597,000","1,278,618,000","1,131,462,000","1,478,381,000","1,194,622,000","1,134,393,000","1,141,406,000","510,618,000"
Quick Assets,"200,585,000","308,269,000","385,246,000","366,315,000","500,795,000","303,131,000","558,547,000","256,356,000","400,339,000","248,269,000","310,643,000","298,448,000"
Total Assets,"7,072,147,000","7,043,956,000","7,213,537,000","7,349,334,000","7,270,167,000","7,249,537,000","7,290,269,000","8,010,965,000","6,193,234,000","6,209,014,000","2,884,757,000","1,773,516,000"
Interest Bearing Long Term Liability,0,"1,986,000","2,315,000","2,532,000","3,304,000",0,"28,795,000","78,397,000","124,950,000","168,144,000","113,514,000","13,031,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,"21,610,000","33,679,000","60,260,000"
Interest Bearing Short Term Liability,"619,000","36,171,000","161,018,000","861,000","729,000","30,638,000","50,964,000","189,363,000","58,683,000","96,726,000","14,189,000","4,079,000"
* Non Interest Bearing Short Term Liability,"841,787,000","767,795,000","912,942,000","1,095,193,000","1,090,838,000","976,428,000","882,989,000","1,210,795,000","973,660,000","790,746,000","751,134,000","389,481,000"
Trades Payables,"758,607,000","697,659,000","846,655,000","1,095,193,000","1,090,016,000","938,391,000","845,441,000","1,193,299,000","971,110,000","790,746,000","751,134,000","389,481,000"
Total Current Liabilities,"842,406,000","803,966,000","1,073,960,000","1,175,276,000","1,106,641,000","1,007,066,000","933,953,000","1,454,389,000","1,090,297,000","887,472,000","846,432,000","441,604,000"
Total Liabilities,"2,017,708,000","1,987,704,000","2,369,612,000","2,527,143,000","2,535,260,000","2,677,925,000","2,681,846,000","3,367,467,000","2,503,443,000","1,303,949,000","1,171,173,000","636,964,000"
Paid Up Capital,"554,844,000","554,844,000","554,844,000","554,844,000","554,844,000","554,844,000","554,844,000","554,844,000","554,844,000","554,844,000","341,442,000","218,873,000"
Reserves,"1,502,246,000","1,409,227,000","1,047,397,000","923,530,000","788,478,000","687,867,000","614,913,000","408,631,000","434,861,000","328,997,000","409,517,000","232,485,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"2,997,349,000","3,092,182,000","3,241,684,000","3,343,817,000","3,391,585,000","3,328,901,000","3,438,666,000","3,680,023,000","2,700,086,000","4,021,224,000","962,625,000","685,194,000"
Shareholder Equity,"5,054,439,000","5,056,253,000","4,843,925,000","4,822,191,000","4,734,907,000","4,571,612,000","4,608,423,000","4,643,498,000","3,689,791,000","4,905,065,000","1,713,584,000","1,136,552,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"55,484,400","55,484,400","55,484,303","55,484,303","55,484,303","55,484,303","55,484,303","55,484,303","55,484,303","55,484,303","34,144,186","21,887,298"
