Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"3,250,459,000","3,099,364,000","2,936,016,000","2,347,812,704","2,468,869,990","2,592,051,216","1,568,312,424","1,641,428,110","1,177,285,293","1,225,657,147","1,240,079,909","612,759,069"
Investments,0,"30,000,000","264,590,000","158,714,980","141,520,264","126,188,376","112,517,500","100,327,686","89,458,481","79,766,813","36,063,125",0
Cash in Hand and Bank,"4,478,000","46,439,000","141,775,000","1,331,543","7,353,819","31,600,756","4,959,712","5,395,650","24,349,927","24,742,324","1,786,788","14,356,415"
Stores and Spares,"61,579,000","42,073,000","28,490,000","28,000,160","29,109,445","29,686,694","24,537,306","29,716,267","25,929,011","29,894,430","35,597,214","25,929,177"
Stock in Trade,"49,192,000","518,655,000","3,374,000",0,"132,548,433","230,499,284","288,296,433","432,360,526","369,101,210","99,076,420","263,009,004","271,773,472"
Trade Debts,"845,561,000","94,000","160,287,000",0,"132,548,433","134,318,433","185,003,492","184,808,682","222,657,222","300,919,876","69,515,679","82,394,776"
Current Assets,"1,042,735,000","833,972,000","498,948,000","103,997,395","276,037,663","541,704,149","553,703,965","707,816,507","674,272,665","484,620,558","394,296,911","427,072,985"
Quick Assets,"931,964,000","273,244,000","467,084,000","75,997,235","114,379,785","281,518,171","240,870,226","245,739,714","279,242,444","355,649,708","95,690,693","129,370,336"
Total Assets,"4,299,330,000","3,940,672,000","3,615,524,000","2,612,114,672","2,888,178,190","3,261,843,410","2,236,363,703","2,451,237,743","1,941,798,662","1,790,856,022","1,671,315,273","1,040,688,519"
Interest Bearing Long Term Liability,"763,849,000","921,937,000","618,907,000","223,979,433","236,326,479","275,519,036","310,108,101","347,018,869","378,694,079","418,518,456","253,884,650","117,351,709"
Non Interest Bearing Long Term Liability,0,0,0,"75,949,261","75,003,717","53,797,281","6,516,548","6,235,738","4,596,966","3,954,209","4,079,676","158,953,201"
Interest Bearing Short Term Liability,"205,319,000","124,909,000","81,247,000","293,472,674","281,722,766","463,008,182","499,162,897","533,199,556","365,567,578","206,309,968","44,560,068","401,521,851"
* Non Interest Bearing Short Term Liability,"878,334,000","645,459,000","996,455,000","1,297,614,474","1,115,059,443","1,100,783,293","731,091,153","543,456,055","512,139,836","316,333,914","551,276,672","694,818,871"
Trades Payables,"837,179,000","618,993,000","994,463,000","1,257,225,602","1,085,767,117","1,060,290,269","693,671,630","498,313,111","471,489,699","280,489,037","527,801,641","479,757,988"
Total Current Liabilities,"1,118,726,000","801,792,000","1,079,277,000","1,591,087,148","1,396,782,209","1,563,791,475","1,230,254,050","1,076,655,611","895,490,737","540,120,201","601,301,713","1,097,799,197"
Total Liabilities,"2,379,114,000","2,178,461,000","2,089,302,000","2,094,963,361","2,144,482,571","2,289,569,357","1,836,607,423","1,738,212,392","1,499,629,622","1,211,522,872","1,150,595,301","1,378,877,931"
Paid Up Capital,"446,160,000","446,160,000","446,160,000","223,080,000","223,080,000","223,080,000","223,080,000","223,080,000","223,080,000","223,080,000","223,080,000","223,080,000"
Reserves,"-294,616,000","-473,381,000","-731,522,000","-1,045,626,408","-881,713,717","-718,799,054","-569,463,570","-291,516,430","-192,351,248","-76,323,503","-157,608,824","-561,269,412"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,768,672,000","1,789,432,000","1,811,584,000","1,339,697,719","1,402,329,336","1,467,993,107","746,139,850","781,461,781","411,440,288","432,576,653","455,248,796",0
Shareholder Equity,"1,920,216,000","1,762,211,000","1,526,222,000","517,151,311","743,695,619","972,274,053","399,756,280","713,025,351","442,169,040","579,333,150","520,719,972","-338,189,412"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"44,616,000","44,616,000","44,616,000","22,308,000","22,308,000","22,308,000","22,308,000","22,308,000","22,308,000","22,308,000","22,308,000","22,308,000"
