FORM_TYPE,LINK,FILENAME,DOWNLOADED,UPLOADED
8-K,/Archives/edgar/data/730272/000119312521274670/0001193125-21-274670.txt,0001193125-21-274670.txt,FALSE,FALSE
4,/Archives/edgar/data/730272/000089924321036134/0000899243-21-036134.txt,0000899243-21-036134.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321035722/0000899243-21-035722.txt,0000899243-21-035722.txt,TRUE,TRUE
8-K,/Archives/edgar/data/730272/000119312521265002/0001193125-21-265002.txt,0001193125-21-265002.txt,FALSE,FALSE
4,/Archives/edgar/data/730272/000089924321034901/0000899243-21-034901.txt,0000899243-21-034901.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321034897/0000899243-21-034897.txt,0000899243-21-034897.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321034834/0000899243-21-034834.txt,0000899243-21-034834.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321033643/0000899243-21-033643.txt,0000899243-21-033643.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321033450/0000899243-21-033450.txt,0000899243-21-033450.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321031820/0000899243-21-031820.txt,0000899243-21-031820.txt,TRUE,TRUE
10-Q,/Archives/edgar/data/730272/000119312521225812/0001193125-21-225812.txt,0001193125-21-225812.txt,FALSE,FALSE
8-K,/Archives/edgar/data/730272/000119312521225040/0001193125-21-225040.txt,0001193125-21-225040.txt,FALSE,FALSE
4,/Archives/edgar/data/730272/000089924321029561/0000899243-21-029561.txt,0000899243-21-029561.txt,TRUE,TRUE
4/A,/Archives/edgar/data/730272/000089924321029533/0000899243-21-029533.txt,0000899243-21-029533.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321028505/0000899243-21-028505.txt,0000899243-21-028505.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321023674/0000899243-21-023674.txt,0000899243-21-023674.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321020294/0000899243-21-020294.txt,0000899243-21-020294.txt,TRUE,TRUE
8-K,/Archives/edgar/data/730272/000119312521166003/0001193125-21-166003.txt,0001193125-21-166003.txt,FALSE,FALSE
4,/Archives/edgar/data/730272/000089924321019723/0000899243-21-019723.txt,0000899243-21-019723.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019721/0000899243-21-019721.txt,0000899243-21-019721.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019720/0000899243-21-019720.txt,0000899243-21-019720.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019713/0000899243-21-019713.txt,0000899243-21-019713.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019712/0000899243-21-019712.txt,0000899243-21-019712.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019710/0000899243-21-019710.txt,0000899243-21-019710.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019708/0000899243-21-019708.txt,0000899243-21-019708.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019706/0000899243-21-019706.txt,0000899243-21-019706.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019705/0000899243-21-019705.txt,0000899243-21-019705.txt,TRUE,TRUE
4,/Archives/edgar/data/730272/000089924321019419/0000899243-21-019419.txt,0000899243-21-019419.txt,TRUE,TRUE
DEFR14A,/Archives/edgar/data/730272/000119312521151737/0001193125-21-151737.txt,0001193125-21-151737.txt,FALSE,FALSE
10-Q,/Archives/edgar/data/730272/000119312521150053/0001193125-21-150053.txt,0001193125-21-150053.txt,FALSE,FALSE
8-K,/Archives/edgar/data/730272/000119312521149030/0001193125-21-149030.txt,0001193125-21-149030.txt,FALSE,FALSE
DEF 14A,/Archives/edgar/data/730272/000119312521123603/0001193125-21-123603.txt,0001193125-21-123603.txt,FALSE,FALSE
4,/Archives/edgar/data/730272/000089924321015429/0000899243-21-015429.txt,0000899243-21-015429.txt,TRUE,TRUE
