Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"4,708,374,000","5,381,196,000","4,284,800,000","3,925,697,000","3,215,811,000","2,700,191,000","1,831,525,000","2,632,779,000","2,189,855,000","1,811,375,000","1,845,022,000","1,081,395,000","1,298,120,000"
COGS,"3,142,330,000","3,290,450,000","2,346,162,000","2,685,337,000","2,282,076,000","2,167,105,000","1,840,372,000","1,087,478,000","833,842,000","674,188,000","529,631,000","628,826,000","478,487,000"
Gross Profit,"1,566,044,000","2,090,746,000","1,938,638,000","1,240,360,000","933,735,000","533,086,000","-8,847,000","1,545,301,000","1,356,013,000","1,137,187,000","1,315,391,000","452,569,000","819,633,000"
Administrative Expenses,"768,099,000","1,008,426,000","739,967,000","694,833,000","664,566,000","551,405,000","525,695,000","415,068,000","341,773,000","338,039,000","229,949,000","251,839,000","184,453,000"
Selling & Distributive Expenses,"455,264,000","669,419,000","571,810,000","442,704,000","260,075,000","208,081,000","183,448,000","120,317,000","136,752,000","143,439,000","96,780,000","85,054,000","96,733,000"
Financial Charges,"48,508,000","39,779,000","44,034,000","29,669,000","22,934,000","11,837,000","12,076,000","8,847,000","14,677,000","25,422,000","24,796,000","19,526,000","14,149,000"
Other Income,"414,724,000","945,494,000","537,430,000","290,934,000","135,301,000","121,816,000","163,749,000","185,137,000","81,413,000","181,265,000","28,204,000","234,331,000","190,183,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"302,584,000",0,"4,304,000","2,005,000","31,516,000","31,794,000","18,948,000","23,892,000","19,162,000","15,551,000","37,709,000","29,714,000","2,333,000"
EBITDA,"953,094,000","1,876,065,000","1,685,987,000","1,123,177,000","832,405,000","700,213,000","152,776,000","1,411,133,000","1,217,805,000","1,016,601,000","1,090,727,000","424,183,000","797,063,000"
EBIT,"454,821,000","1,358,395,000","1,159,987,000","391,752,000","112,879,000","-136,378,000","-573,189,000","1,171,161,000","939,739,000","821,423,000","979,157,000","320,293,000","726,297,000"
EBT,"406,313,000","1,318,616,000","1,115,953,000","362,083,000","89,945,000","-148,215,000","-585,265,000","1,162,314,000","925,062,000","796,001,000","954,361,000","300,767,000","712,148,000"
Tax,"161,473,000","75,132,000","49,983,000","41,787,000","37,743,000","38,810,000","33,253,000","2,706,000","3,638,000","2,313,000","2,497,000","6,656,000","6,263,000"
PAT,"244,840,000","1,243,484,000","1,065,970,000","320,296,000","52,202,000","-187,025,000","-618,518,000","1,159,608,000","921,424,000","793,688,000","951,864,000","294,111,000","705,885,000"
EPS,2.73,13.86,11.89,3.58,0.59,-2.1,-6.95,14.86,11.83,10.19,12.22,4.03,9.85
