Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Operating Cash Flow,"571,903,000","626,754,000","961,407,000","719,264,000","-68,484,000","653,956,000","-137,324,000","422,646,000","664,775,000","273,372,000","89,775,000","395,027,000","392,490,000","405,155,000"
Captial Expenditure,"139,882,000","1,333,459,000","1,345,131,000","653,955,000","588,191,000","985,682,000","512,104,000","148,270,000","158,752,000","242,974,000","87,453,000","59,457,000","114,262,000","62,643,000"
Cashflow from Investing,"-140,037,000","-1,334,261,000","-1,354,545,000","-661,463,000","-585,816,000","-981,681,000","-513,294,000","-150,098,000","-164,230,000","-246,666,000","-97,254,000","-140,608,000","-184,720,000","-209,435,000"
Cash Flow from Financing,"-407,257,000","723,327,000","379,198,000","-76,194,000","661,315,000","302,091,000","614,971,000","-222,283,000","-487,573,000","71,907,000","-3,426,000","-269,241,000","-196,041,000","-424,303,000"
Net Change,"24,609,000","15,820,000","-13,940,000","-18,393,000","7,015,000","-25,634,000","-35,647,000","50,265,000","12,972,000","98,613,000","-10,905,000","-14,822,000","11,729,000","-228,583,000"
Opening Cash,"109,892,000","94,072,000","108,012,000","126,405,000","119,390,000","145,024,000","180,671,000","130,406,000","117,434,000","15,132,000","26,037,000","40,859,000","29,130,000","257,713,000"
Closing Cash,"134,501,000","109,892,000","94,072,000","108,012,000","126,405,000","119,390,000","145,024,000","180,671,000","130,406,000","113,745,000","15,132,000","26,037,000","40,859,000","29,130,000"
FCFF,"432,021,000","-706,705,000","-383,724,000","65,309,000","-656,675,000","-331,726,000","-649,428,000","274,376,000","506,023,000","30,398,000","2,322,000","335,570,000","278,228,000","342,512,000"
FCFE,"24,764,000","16,622,000","-4,526,000","-10,885,000","4,640,000","-29,635,000","-34,457,000","52,093,000","18,450,000","102,305,000","-1,104,000","66,329,000","82,187,000","-81,791,000"
