Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Operating Cash Flow,"-9,633","-290,721,012","412,338,843","1,886,738","16,242,865","-12,784,521","-23,187,786","1,934,598","-102,380,741"
Captial Expenditure,0,"-625,000","21,394,263","-755,000","-26,543,657","85,500","-298,542","-345,500","548,917,331"
Cashflow from Investing,"14,223","-212,004,536","-1,509,526,813","7,470,283","-15,121,302","16,136,556","41,790,204","-12,672,055","50,603,823"
Cash Flow from Financing,0,"500,000,000","1,099,109,600","-8,946,666","-2,000,000","-3,703,353","-17,739,400","-7,027,196","-209,569"
Net Change,"4,590","-2,725,548","1,921,630","410,355","-878,437","-351,318","863,018","-17,764,653","-51,986,487"
Opening Cash,"356,006","3,081,554","1,159,924","749,569","1,628,006","1,979,324","1,116,306","18,880,959","70,867,446"
Closing Cash,"360,596","356,006","3,081,554","1,159,924","749,569","1,628,006","1,979,324","1,116,306","18,880,959"
FCFF,"-9,633","-290,096,012","390,944,580","2,641,738","42,786,522","-12,870,021","-22,889,244","2,280,098","-651,298,072"
FCFE,"-9,633","209,903,988","1,490,054,180","-6,304,928","40,786,522","-16,573,374","-40,628,644","-4,747,098","-651,507,641"
