Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Fixed Assets,"39,889,431,000","35,485,353,000","27,842,703,000","26,070,656,000","24,109,570,000","21,361,850,000","16,877,750,000","12,117,977,000","12,047,211,000"
Investments,"33,634,126,000","20,700,000,000",0,"3,604,596,000",0,0,0,0,0
Cash in Hand and Bank,"16,700,278,000","6,635,818,000","7,268,908,000","3,323,196,000","626,154,000","4,900,635,000","5,307,263,000","6,508,559,000","2,950,816,000"
Stores and Spares,"2,999,993,000","2,349,391,000","671,051,000","1,015,000,000","2,167,328,000","1,717,945,000","835,055,000","820,648,000","806,905,000"
Stock in Trade,0,0,0,0,0,0,0,0,0
Trade Debts,"179,301,640,000","148,939,878,000","95,294,994,000","54,426,085,000","26,887,469,000","32,355,308,000","31,165,789,000","11,878,669,000","15,151,485,000"
Current Assets,"239,912,114,000","183,654,952,000","114,405,530,000","65,303,768,000","32,727,282,000","41,868,075,000","40,628,932,000","20,472,285,000","20,733,210,000"
Quick Assets,"236,912,121,000","181,305,561,000","113,734,479,000","64,288,768,000","30,559,954,000","40,150,130,000","39,793,877,000","19,651,637,000","19,926,305,000"
Total Assets,"282,077,303,000","220,062,206,000","144,165,700,000","93,594,967,000","59,559,647,000","65,653,818,000","59,463,027,000","34,192,438,000","33,287,590,000"
Interest Bearing Long Term Liability,0,0,0,"4,172,727,000","1,000,000,000","9,290,001,000","332,505,000","1,543,207,000","946,667,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,0,0,"119,045,000","955,037,000","151,774,000","1,632,505,000","1,379,173,000","961,603,000","442,222,000"
* Non Interest Bearing Short Term Liability,"170,144,182,000","140,372,206,000","93,784,193,000","55,445,721,000","34,865,375,000","36,666,879,000","36,214,520,000","13,909,355,000","16,006,947,000"
Trades Payables,"170,144,182,000","140,372,206,000","93,774,013,000","55,191,169,000","34,669,221,000","36,656,379,000","36,177,006,000","13,867,316,000","15,950,674,000"
Total Current Liabilities,"178,586,058,000","146,397,515,000","96,021,626,000","56,400,758,000","35,017,149,000","39,398,626,000","37,593,693,000","15,274,318,000","16,449,169,000"
Total Liabilities,"188,928,197,000","156,455,477,000","103,973,962,000","68,057,297,000","42,593,724,000","54,157,600,000","42,640,796,000","20,635,705,000","21,811,444,000"
Paid Up Capital,"1,334,025,000","1,212,750,000","1,102,500,000","1,102,500,000","1,102,500,000","1,102,500,000","918,750,000","918,750,000","918,750,000"
Reserves,"91,815,081,000","62,393,979,000","39,089,238,000","24,435,170,000","15,863,423,000","10,393,718,000","15,903,481,000","12,637,983,000","10,557,396,000"
Preferred Equity,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0
Shareholder Equity,"93,149,106,000","63,606,729,000","40,191,738,000","25,537,670,000","16,965,923,000","11,496,218,000","16,822,231,000","13,556,733,000","11,476,146,000"
Paid Up Value,10,10,10,10,10,10,10,10,10
Number of Shares,"133,402,500","121,275,000","110,250,000","110,250,000","110,250,000","110,250,000","91,875,000","91,875,000","91,875,000"
