Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"14,683,267,000","13,224,068,000","12,255,793,000","11,778,067,000","11,954,171,000","13,597,081,000","11,950,081,000","10,240,532,000","10,009,875,000","7,620,571,000","5,685,687,000"
COGS,"13,193,443,000","11,847,875,000","10,489,889,000","9,746,015,000","10,096,906,000","12,375,215,000","10,516,592,000","8,761,569,000","8,252,920,000","6,400,820,000","4,695,035,000"
Gross Profit,"1,489,824,000","1,376,193,000","1,765,904,000","2,032,052,000","1,857,265,000","1,221,866,000","1,433,489,000","1,478,963,000","1,756,955,000","1,219,751,000","990,652,000"
Administrative Expenses,"326,045,000","315,193,000","283,606,000","364,977,000","342,642,000","334,422,000","231,322,000","224,631,000","185,745,000","115,223,000","91,076,000"
Selling & Distributive Expenses,"462,173,000","371,630,000","306,060,000","282,928,000","286,228,000","400,593,000","294,343,000","243,590,000","211,760,000","148,458,000","120,647,000"
Financial Charges,"819,480,000","507,524,000","355,197,000","454,983,000","781,916,000","923,038,000","614,150,000","171,374,000","122,429,000","205,346,000","221,723,000"
Other Income,"99,781,000","56,770,000","46,770,000","61,705,000","60,675,000","105,446,000","47,956,000","32,816,000","52,298,000","27,282,000","43,046,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,025,000","18,547,000","56,795,000","77,211,000","34,976,000",0,"23,573,000","57,341,000","90,289,000","55,012,000","41,418,000"
EBITDA,"1,436,182,000","1,371,763,000","1,784,025,000","1,953,889,000","1,855,919,000","1,274,195,000","1,673,786,000","1,351,506,000","1,686,473,000","1,292,235,000","1,108,631,000"
EBIT,"800,362,000","727,593,000","1,166,213,000","1,368,641,000","1,254,094,000","592,297,000","932,207,000","986,217,000","1,321,459,000","928,340,000","780,557,000"
EBT,"-19,118,000","220,069,000","811,016,000","913,658,000","472,178,000","-330,741,000","318,057,000","814,843,000","1,199,030,000","722,994,000","558,834,000"
Tax,"290,696,000","62,712,000","238,374,000","159,176,000","-26,013,000","-131,095,000","108,901,000","280,788,000","416,425,000","228,149,000","94,759,000"
PAT,"-309,814,000","157,357,000","572,642,000","754,482,000","498,191,000","-199,646,000","209,156,000","534,055,000","782,605,000","494,845,000","464,075,000"
EPS,-7.98,4.06,14.76,20.15,14.86,-6.65,6.97,17.8,26.09,16.49,15.47
