Year,2010,2009,2008
Net Working Capital to Total Asseets,-2.05,-1.39,0.16
Current Ratio,0.20,0.32,1.21
Time Interest Earn,-0.42,-9.47,3.23
Return on Capital Employed,0.03,2.81,0.13
Payout,0.00,0.00,279.81
Plow Back,100.00,100.00,-179.81
Return on Equity,0.00,0.00,8.19
Return on Assets,-13.44,-323.22,1.88
Book Value per Share,-6.54,-5.90,6.75
Earning Per Share,-0.55,-18.24,0.55
