Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Operating Cash Flow,"3,787,567,000","-2,030,323,000","3,655,560,000","7,900,148,000","3,505,150,000","2,294,250,000","365,624,000","1,990,541,000","896,969,000","-212,753,000","4,238,512,000","-94,801,000","1,102,493,000"
Captial Expenditure,"21,261,000","88,785,000","87,291,000","121,595,000","50,349,000","71,685,000","99,407,000","123,576,000","42,607,000","78,265,000","108,981,000","87,508,000","169,735,000"
Cashflow from Investing,"-237,886,000","5,734,138,000","1,296,563,000","-5,483,184,000","42,456,000","-371,970,000","512,669,000","1,951,648,000","813,277,000","1,669,972,000","-2,684,029,000","1,674,909,000","-495,692,000"
Cash Flow from Financing,"-2,682,207,000","-4,611,967,000","-5,252,986,000","-2,918,213,000","-2,067,524,000","-1,958,284,000","-1,847,699,000","-2,509,415,000","-1,448,942,000","-2,172,772,000","-1,440,801,000","-834,093,000","-459,179,000"
Net Change,"867,474,000","-908,152,000","-300,863,000","-501,249,000","1,480,082,000","-36,004,000","-969,406,000","1,432,774,000","261,304,000","-715,553,000","113,682,000","746,015,000","147,622,000"
Opening Cash,"851,988,000","1,760,140,000","2,061,003,000","2,562,252,000","1,082,170,000","1,118,174,000","2,087,580,000","654,806,000","393,502,000","1,109,055,000","995,373,000","249,358,000","101,736,000"
Closing Cash,"1,719,462,000","851,988,000","1,760,140,000","2,061,003,000","2,562,252,000","1,082,170,000","1,118,174,000","2,087,580,000","654,806,000","393,502,000","1,109,055,000","995,373,000","249,358,000"
FCFF,"3,766,306,000","-2,119,108,000","3,568,269,000","7,778,553,000","3,454,801,000","2,222,565,000","266,217,000","1,866,965,000","854,362,000","-291,018,000","4,129,531,000","-182,309,000","932,758,000"
FCFE,"1,084,099,000","-6,731,075,000","-1,684,717,000","4,860,340,000","1,387,277,000","264,281,000","-1,581,482,000","-642,450,000","-594,580,000","-2,463,790,000","2,688,730,000","-1,016,402,000","473,579,000"
