Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Operating Cash Flow,"2,301,301","-440,803","111,934,809","5,640,892","26,741,123","-14,444,408","1,047,544","-98,356,969","-98,356,969","8,542,699","-31,022,022","55,863,455"
Captial Expenditure,0,"-60,000","-1,190,522","1,813,731","22,350,857","64,350","11,100","108,631","108,631","34,000","88,580","3,824,270"
Cashflow from Investing,0,"60,000","1,127,522","-1,889,731","-21,903,171","-64,350","-11,100","-108,631","-108,631","-34,000","-212,480","-3,824,270"
Cash Flow from Financing,0,"259,920","-112,105,000","-3,000,000","-7,583,405","8,511,433","4,208,129","78,236,946","78,236,946","-11,428,597","48,823,716","-49,532,358"
Net Change,"2,301,301","-120,883","957,331","751,161","-2,745,453","-5,997,325","5,244,573","-20,228,654","-20,228,654","-2,919,898","17,589,214","2,506,827"
Opening Cash,"2,891,719","3,012,603","2,055,272","1,304,111","4,049,564","10,046,889","4,802,316","25,030,970","25,030,970","27,950,868","8,602,876","6,096,049"
Closing Cash,"5,193,020","2,891,720","3,012,603","2,055,272","1,304,111","4,049,564","10,046,889","4,802,316","4,802,316","25,030,970","26,192,090","8,602,876"
FCFF,"2,301,301","-380,803","113,125,331","3,827,161","4,390,266","-14,508,758","1,036,444","-98,465,600","-98,465,600","8,508,699","-31,110,602","52,039,185"
FCFE,"2,301,301","-120,883","1,020,331","827,161","-3,193,139","-5,997,325","5,244,573","-20,228,654","-20,228,654","-2,919,898","17,713,114","2,506,827"
