Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Fixed Assets,"356,688,810","353,612,373","402,314,103","402,261,606","362,884,668","361,564,572","139,369,437","134,206,816","61,406,026","23,689,568"
Investments,"4,187,624","6,253,392","13,166,533","24,578,631","18,093,267","114,602,855",0,0,0,0
Cash in Hand and Bank,"7,190,668","10,685,820","1,855,717","601,070","4,206,575","6,526,599","1,974,023","29,559,881","4,922,026","3,630,862"
Stores and Spares,"5,652,656","4,666,032","7,419,631","2,847,213","2,086,366","29,433",0,"662,900","662,900","662,900"
Stock in Trade,"324,622,739","329,273,427","288,152,301","268,859,814","159,607,160","68,637,956","43,057,387","24,909,085","25,222,475","18,292,799"
Trade Debts,"20,261,803","9,885,896","9,310,190","15,664,678","105,699,900","119,860,066","134,109,012","101,125,268","118,700,546","48,216,103"
Current Assets,"377,950,857","387,360,652","357,714,841","344,988,552","362,757,206","349,621,057","192,568,797","157,298,284","160,478,887","77,931,129"
Quick Assets,"47,675,462","53,421,193","62,142,909","73,281,525","201,063,680","280,953,668","149,511,410","131,726,299","134,593,512","58,975,430"
Total Assets,"736,508,867","742,792,225","761,848,144","749,069,358","727,636,074","712,284,629","331,938,234","291,505,100","221,884,913","101,620,697"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"67,736,998","93,306,036"
Non Interest Bearing Long Term Liability,"45,500,000","56,600,000",0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,0,0,0,0,0,0,0,0,0,"16,100,000"
* Non Interest Bearing Short Term Liability,"161,014,248","118,043,133","155,380,815","105,545,844","45,323,808","27,117,701","19,527,535","2,688,763","3,064,705","2,167,653"
Trades Payables,"161,014,248","118,043,133","155,380,815","105,545,844","45,323,808","27,117,701","19,527,535","2,688,763","3,064,705","2,167,653"
Total Current Liabilities,"162,241,748","119,270,633","155,380,815","105,545,844","45,323,808","27,117,701","19,932,308","2,688,763","3,064,705","18,267,653"
Total Liabilities,"212,739,082","195,394,500","159,142,510","108,712,694","48,529,378","29,822,122","22,736,169","4,428,166","72,039,119","112,324,132"
Paid Up Capital,"984,618,280","984,618,280","984,618,280","984,618,280","984,618,280","984,618,280","522,005,500","522,005,500","326,735,000","106,875,000"
Reserves,"-485,286,637","-464,666,474","-406,539,644","-366,537,519","-329,545,331","-328,750,959","-242,149,750","-267,750,066","-213,357,539","-117,578,435"
Preferred Equity,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"24,438,142","27,445,919","24,626,998","22,275,903","24,033,747","26,595,186","29,346,315","32,821,500","36,468,333",0
Shareholder Equity,"523,769,785","547,397,725","602,705,634","640,356,664","679,106,696","682,462,507","309,202,065","287,076,934","149,845,794","-10,703,435"
Paid Up Value,10,10,10,10,10,10,10,10,10,10
Number of Shares,"98,461,828","98,461,828","98,461,828","98,461,828","98,461,828","98,461,828","52,200,550","52,200,550","32,673,500","10,687,500"
