Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Operating Cash Flow,"36,634,584","-81,888,197","8,281,215","61,479,790","-78,419,189","-17,743,589","-12,447,532","60,121,775","-31,734,136","-56,248,001"
Captial Expenditure,"30,390,071","-29,632,077","15,366,506","59,345,600","15,227,649","23,218,651","15,138,326","80,804,420","3,574,700","1,175,236"
Cashflow from Investing,"-28,979,736","34,118,300","-7,026,568","-65,085,295","76,099,165","-137,703,835","-15,138,326","-80,804,420","-3,574,700","-1,175,236"
Cash Flow from Financing,"-11,150,000","56,600,000",0,0,0,"160,000,000",0,"45,320,500","36,600,000","60,944,000"
Net Change,"-3,495,152","8,830,103","1,254,647","-3,605,505","-2,320,024","4,552,576","-27,585,858","24,637,855","1,291,164","3,520,763"
Opening Cash,"10,685,820","1,855,717","601,070","4,206,575","6,526,599","1,974,023","29,559,881","4,922,026","3,630,862","110,099"
Closing Cash,"7,190,668","10,685,820","1,855,717","601,070","4,206,575","6,526,599","1,974,023","29,559,881","4,922,026","3,630,862"
FCFF,"6,244,513","-52,256,120","-7,085,291","2,134,190","-93,646,838","-40,962,240","-27,585,858","-20,682,645","-35,308,836","-57,423,237"
FCFE,"-4,905,487","4,343,880","-7,085,291","2,134,190","-93,646,838","119,037,760","-27,585,858","24,637,855","1,291,164","3,520,763"
