Year,2020,2019,2018,2017,2016
Operating Cash Flow,"2,368,554,000","2,876,523,000","2,706,879,000","2,515,086,000","2,033,364,000"
Captial Expenditure,0,0,0,0,0
Cashflow from Investing,"194,344,000","133,031,000","131,504,000","856,231,000","-649,285,000"
Cash Flow from Financing,"-3,068,891,000","-2,869,989,000","-4,544,124,000","-2,312,648,000","-169,935,000"
Net Change,"-505,993,000","139,565,000","-1,705,741,000","1,058,669,000","1,214,144,000"
Opening Cash,"1,619,355,000","1,479,790,000","3,185,531,000","2,126,862,000","912,718,000"
Closing Cash,"1,113,362,000","1,619,355,000","1,479,790,000","3,185,531,000","2,126,862,000"
FCFF,"2,368,554,000","2,876,523,000","2,706,879,000","2,515,086,000","2,033,364,000"
FCFE,"-700,337,000","6,534,000","-1,837,245,000","202,438,000","1,863,429,000"
