Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Operating Cash Flow,"559,000","-7,009,000","6,120,000","-16,331,000","154,262,000","344,106,000","60,368,000","206,149,000","52,190,000","54,706,000"
Captial Expenditure,0,0,0,"-48,000","121,988,000","28,225,000","55,268,000","3,892,000","34,298,000","31,178,000"
Cashflow from Investing,0,0,0,"48,000","-121,988,000","-28,225,000","-55,268,000","-3,892,000","-34,298,000","-31,178,000"
Cash Flow from Financing,0,0,0,0,"-178,345,000","-282,660,000","-95,204,000","-6,400,000","-13,944,000","-10,328,000"
Net Change,"559,000","-7,009,000","6,120,000","-16,283,000","-146,071,000","33,221,000","-90,104,000","195,857,000","3,948,000","13,200,000"
Opening Cash,"577,000","7,586,000","1,466,000","17,749,000","163,820,000","130,599,000","220,703,000","24,846,000","20,898,000","7,698,000"
Closing Cash,"1,136,000","577,000","7,586,000","1,466,000","17,749,000","163,820,000","130,599,000","220,703,000","24,846,000","20,898,000"
FCFF,"559,000","-7,009,000","6,120,000","-16,283,000","32,274,000","315,881,000","5,100,000","202,257,000","17,892,000","23,528,000"
FCFE,"559,000","-7,009,000","6,120,000","-16,283,000","-146,071,000","33,221,000","-90,104,000","195,857,000","3,948,000","13,200,000"
