Year,2020,2019,2018,2017,2016
Fixed Assets,"17,723,406,000","16,965,602,305","15,528,653,230","12,253,098,525","8,441,597,274"
Investments,"15,289,000","15,289,370","15,289,370","15,289,370","315,289,370"
Cash in Hand and Bank,"509,361,000","147,038,804","131,073,813","69,558,113","81,124,343"
Stores and Spares,"1,683,504,000","1,337,909,615","869,765,512","619,231,295","599,892,883"
Stock in Trade,"8,040,331,000","6,586,598,119","7,459,068,100","3,404,198,598","4,410,123,514"
Trade Debts,"4,900,333,000","3,402,721,624","1,787,703,846","1,455,202,310","2,070,501,848"
Current Assets,"17,571,523,000","12,460,211,708","10,935,428,619","5,790,896,107","8,150,398,742"
Quick Assets,"7,847,688,000","4,535,703,974","2,606,595,007","1,767,466,214","3,140,382,345"
Total Assets,"35,469,446,000","29,610,775,291","26,642,859,381","18,209,063,919","16,765,432,674"
Interest Bearing Long Term Liability,"5,834,917,000","1,786,913,763","2,204,388,750","712,069,453","524,524,754"
Non Interest Bearing Long Term Liability,0,0,0,0,0
Interest Bearing Short Term Liability,"12,733,079,000","10,274,483,853","7,828,359,020","3,937,826,559","3,209,957,143"
* Non Interest Bearing Short Term Liability,"4,309,027,000","3,912,868,319","2,564,522,453","1,174,923,142","1,129,156,666"
Trades Payables,"3,731,308,000","3,560,081,041","2,428,873,755","1,118,557,642","1,080,934,801"
Total Current Liabilities,"18,015,094,000","14,474,713,843","10,395,991,564","5,129,403,081","4,339,113,809"
Total Liabilities,"24,356,260,000","17,367,190,780","13,762,706,928","7,063,311,535","6,075,230,227"
Paid Up Capital,"2,970,114,000","2,970,114,270","2,970,114,270","2,970,114,270","2,970,114,270"
Reserves,"5,854,461,000","6,912,269,790","7,475,596,933","6,420,623,118","5,890,507,263"
Preferred Equity,0,0,0,0,0
Surplus On Revaluation of Assets,"2,288,611,000","2,361,200,451","2,434,441,250","1,755,014,996","1,829,580,914"
Shareholder Equity,"11,113,186,000","12,243,584,511","12,880,152,453","11,145,752,384","10,690,202,447"
Paid Up Value,10,10,10,10,10
Number of Shares,"297,011,400","297,011,427","297,011,427","297,011,427","297,011,427"
