FORM_TYPE,LINK,FILENAME,DOWNLOADED,UPLOADED
4,/Archives/edgar/data/46619/000004661921000067/0000046619-21-000067.txt,0000046619-21-000067.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000065/0000046619-21-000065.txt,0000046619-21-000065.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000064/0000046619-21-000064.txt,0000046619-21-000064.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000063/0000046619-21-000063.txt,0000046619-21-000063.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000059/0000046619-21-000059.txt,0000046619-21-000059.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000057/0000046619-21-000057.txt,0000046619-21-000057.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000056/0000046619-21-000056.txt,0000046619-21-000056.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000055/0000046619-21-000055.txt,0000046619-21-000055.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000054/0000046619-21-000054.txt,0000046619-21-000054.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000053/0000046619-21-000053.txt,0000046619-21-000053.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000052/0000046619-21-000052.txt,0000046619-21-000052.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000051/0000046619-21-000051.txt,0000046619-21-000051.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000050/0000046619-21-000050.txt,0000046619-21-000050.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000041/0000046619-21-000041.txt,0000046619-21-000041.txt,TRUE,TRUE
10-Q,/Archives/edgar/data/46619/000004661921000039/0000046619-21-000039.txt,0000046619-21-000039.txt,FALSE,FALSE
8-K,/Archives/edgar/data/46619/000004661921000037/0000046619-21-000037.txt,0000046619-21-000037.txt,FALSE,FALSE
10-Q,/Archives/edgar/data/46619/000004661921000035/0000046619-21-000035.txt,0000046619-21-000035.txt,FALSE,FALSE
8-K,/Archives/edgar/data/46619/000004661921000033/0000046619-21-000033.txt,0000046619-21-000033.txt,FALSE,FALSE
SD,/Archives/edgar/data/46619/000004661921000031/0000046619-21-000031.txt,0000046619-21-000031.txt,FALSE,FALSE
4,/Archives/edgar/data/46619/000004661921000029/0000046619-21-000029.txt,0000046619-21-000029.txt,TRUE,TRUE
4,/Archives/edgar/data/46619/000004661921000027/0000046619-21-000027.txt,0000046619-21-000027.txt,TRUE,TRUE
SC 13G/A,/Archives/edgar/data/46619/000083423721008100/0000834237-21-008100.txt,0000834237-21-008100.txt,FALSE,FALSE
