Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Operating Cash Flow,"-86,037","180,344","-1,246,088,000","121,760,000","-29,410,000","-5,741,000","116,330,000","14,046,000","107,449,000","-608,597,000","-629,883,000","-961,147,000","-1,084,380,000"
Captial Expenditure,"26,738","42,359","-1,278,642,000","21,831,000","10,802,000","8,940,000","7,282,000","-5,470,000","-14,740,000","-4,051,000","-2,676,000","100,174,000","106,822,000"
Cashflow from Investing,"-26,638","-41,639","1,279,676,000","-21,767,000","31,752,000","8,192,000","-5,957,000","6,189,000","-75,617,000","528,047,000","-436,680,000","-82,417,000","-868,045,000"
Cash Flow from Financing,"-29,593","-5,300","-3,079,000","-2,700,000","-2,868,000","-2,918,000","-114,266,000","-19,164,000","-83,183,000","-36,749,000","902,522,000","69,376,000","2,959,362,000"
Net Change,"-142,268","133,405","30,509,000","97,293,000","-526,000","-467,000","-3,893,000","1,071,000","-51,351,000","-117,299,000","-164,041,000","-974,188,000","1,006,937,000"
Opening Cash,"165,393","31,988","1,479,000","-95,814,000","-95,288,000","-94,821,000","-90,928,000","-91,999,000","-40,648,000","76,651,000","340,692,000","1,314,880,000","307,943,000"
Closing Cash,"23,125","165,393","31,988,000","1,479,000","-95,814,000","-95,288,000","-94,821,000","-90,928,000","-91,999,000","-40,648,000","176,651,000","340,692,000","1,314,880,000"
FCFF,"-112,775","137,985","32,554,000","99,929,000","-40,212,000","-14,681,000","109,048,000","19,516,000","122,189,000","-604,546,000","-627,207,000","-1,061,321,000","-1,191,202,000"
FCFE,"-142,368","132,685","29,475,000","97,229,000","-43,080,000","-17,599,000","-5,218,000","352,000","39,006,000","-641,295,000","275,315,000","-991,945,000","1,768,160,000"
