Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Long Term Loans & Advances,"40,382,740","7,486,841","3,485,205","55,013,669","133,991,665","134,362,250","76,407,704","30,260,473","61,893,819","86,525,911","120,287,288","308,009,075","33,054,994"
Investments,"151,223,258","145,677,095","123,274,834","133,265,284","134,956,708","132,263,725","103,432,241","109,622,615","114,735,208","135,710,590","541,445,474","1,134,456,006","127,635,482"
Fixed Assets,"68,511,387","71,629,065","116,101,846","134,498,868","145,756,095","153,986,523","70,494,513","80,511,871","199,006,045","310,816,667","393,888,558","946,975,923","219,032,307"
Cash in Hand and Bank,"10,949,517","24,745,878","10,161,122","14,714,485","3,219,403","2,026,931","10,932,682","11,450,823","62,198,720","15,340,619","75,317,696","248,331,938","59,434,825"
Current Assets,"547,518,613","536,436,020","514,170,529","518,150,079","587,107,144","667,003,595","757,825,997","863,284,342","1,670,629,131","2,532,499,614","3,483,992,555","5,073,978,305","1,599,296,852"
Total Assets,"968,390,363","950,098,225","1,039,311,123","1,070,796,943","1,118,100,105","1,212,833,163","1,326,905,095","1,400,814,572","2,187,109,938","3,390,983,781","4,880,530,774","7,846,983,232","1,968,334,573"
Total Non Current Liabilities,"210,389,572","198,679,882","176,017,089","360,328,388","362,227,075","190,902,939","261,273,623","228,591,359","476,541,166","680,099,467","945,805,449","2,069,187,599","1,291,051"
Total Current Liabilities,"466,550,717","495,143,582","614,908,320","470,874,768","512,331,238","838,701,501","883,655,448","1,102,297,223","1,991,616,032","2,999,621,679","3,700,744,693","4,779,208,059","1,456,234,973"
Total Liabilities,"676,940,289","693,823,464","790,925,409","831,203,156","874,558,313","1,029,604,440","1,144,929,071","1,330,888,582","2,468,157,198","3,679,721,146","4,646,550,142","6,848,395,658","1,457,526,024"
Paid Up Capital,"2,848,668,960","2,848,668,960","2,848,668,960","2,848,668,960","2,848,668,960","2,848,668,960","2,848,668,960","2,848,668,960","2,848,668,960","2,848,668,960","2,848,668,652","2,727,668,652","746,423,700"
Reserves,"-2,571,382,319","-2,617,505,140","-2,613,381,422","-2,621,200,253","-2,611,800,248","-2,672,445,317","-2,678,600,679","-2,778,742,970","-3,138,974,145","-3,146,664,250","-2,623,945,945","-1,748,745,090","-257,262,069"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"291,450,074","256,274,761","248,385,714","239,593,787","243,541,792","183,228,723","181,976,024","69,925,990","-281,047,260","-288,737,365","233,980,632","998,587,574","510,808,549"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"284,866,896","284,866,896","284,866,896","284,866,896","284,866,896","284,866,896","284,866,896","284,866,896","284,866,896","284,866,896","284,866,865","272,766,865","74,642,370"
Surplus On Revaluation of Assets,"14,163,433","25,110,941","13,098,176","12,125,080","6,673,080","7,005,080","11,907,743",0,"9,257,925","9,257,925","9,257,925","19,664,012","21,646,918"
