Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Long Term Loans & Advances,"32,478,602","26,496,577","26,861,531","20,263,856","16,446,847","11,915,024","9,133,551","16,720,094","8,223,874","5,369,026","3,892,294","4,527,628","2,685,116","1,925,305"
Investments,"648,630,153","1,161,067,382","666,437,903","880,311,494","781,520,493","1,108,498,704","1,468,659,639","2,057,755,361","1,868,315,625","1,759,574,556","1,095,008,267","708,110,076","1,038,133,637","66,018,540"
Fixed Assets,"518,456,550","216,757,123","72,418,722","65,654,048","59,901,526","41,868,786","27,442,436","24,719,890","24,941,067","43,436,658","57,128,927","72,321,711","68,076,487","26,153,242"
Cash in Hand and Bank,"1,203,057,736","1,571,601,448","1,678,529,935","1,047,751,383","1,480,125,758","1,300,127,346","839,211,687","621,853,000","521,088,260","562,958,484","814,149,824","208,002,126","106,116,654","317,185,884"
Current Assets,"3,274,942,210","4,314,907,431","3,479,765,861","4,197,471,626","3,309,412,167","3,211,588,161","2,723,511,201","3,373,003,040","2,657,867,232","2,891,588,336","3,608,356,633","5,579,551,663","5,325,048,080","2,187,744,141"
Total Assets,"4,091,854,504","4,840,046,992","3,762,454,257","4,458,216,029","3,532,592,719","3,427,368,096","2,924,086,292","3,572,376,653","2,856,118,393","3,078,231,607","3,704,569,722","5,677,974,293","5,417,809,684","2,238,756,023"
Total Non Current Liabilities,"227,454,320",0,0,0,0,0,0,0,0,0,0,"1,440,366","1,567,285","301,291,203"
Total Current Liabilities,"1,630,847,672","2,231,646,217","1,161,037,703","1,902,713,070","647,255,520","801,106,645","388,231,798","861,718,275","260,854,979","317,919,402","405,417,529","2,394,318,625","2,317,805,324","1,417,425,146"
Total Liabilities,"1,858,301,992","2,231,646,217","1,161,037,703","1,902,713,070","647,255,520","801,106,645","388,231,798","861,718,275","260,854,979","317,919,402","405,417,529","2,395,758,991","2,319,372,609","1,718,716,349"
Paid Up Capital,"305,570,000","380,070,000","380,070,000","380,070,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","357,145,500","238,097,000","138,000,000"
Reserves,"1,922,472,491","2,220,171,928","2,194,534,791","2,175,432,959","2,385,337,199","2,126,261,451","2,035,854,494","2,210,658,378","2,095,332,907","2,256,212,106","2,799,152,193","2,925,069,802","2,860,340,075","385,514,334"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"2,233,552,512","2,608,400,775","2,601,416,554","2,555,502,959","2,885,337,199","2,626,261,451","2,535,854,494","2,710,658,378","2,595,263,414","2,760,312,205","3,299,152,193","3,282,215,302","3,098,437,075","520,039,674"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"30,557,000","38,007,000","38,007,000","38,007,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","35,714,550","23,809,700","13,800,000"
Surplus On Revaluation of Assets,"5,510,021","8,158,847","26,811,763",0,0,0,0,0,"-69,493","4,100,099",0,0,0,"-3,474,660"
