FORM_TYPE,LINK,FILENAME,DOWNLOADED,UPLOADED
8-K,/Archives/edgar/data/720875/000165495421010958/0001654954-21-010958.txt,0001654954-21-010958.txt,FALSE,FALSE
4,/Archives/edgar/data/720875/000165495421010830/0001654954-21-010830.txt,0001654954-21-010830.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421010828/0001654954-21-010828.txt,0001654954-21-010828.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421010825/0001654954-21-010825.txt,0001654954-21-010825.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421010823/0001654954-21-010823.txt,0001654954-21-010823.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421010820/0001654954-21-010820.txt,0001654954-21-010820.txt,TRUE,TRUE
DEF 14A,/Archives/edgar/data/720875/000165495421010816/0001654954-21-010816.txt,0001654954-21-010816.txt,FALSE,FALSE
10-K/A,/Archives/edgar/data/720875/000165495421010323/0001654954-21-010323.txt,0001654954-21-010323.txt,FALSE,FALSE
10-K,/Archives/edgar/data/720875/000165495421010318/0001654954-21-010318.txt,0001654954-21-010318.txt,FALSE,FALSE
8-K,/Archives/edgar/data/720875/000165495421010316/0001654954-21-010316.txt,0001654954-21-010316.txt,FALSE,FALSE
424B5,/Archives/edgar/data/720875/000165495421010191/0001654954-21-010191.txt,0001654954-21-010191.txt,FALSE,FALSE
8-K,/Archives/edgar/data/720875/000165495421009870/0001654954-21-009870.txt,0001654954-21-009870.txt,FALSE,FALSE
4,/Archives/edgar/data/720875/000165495421009666/0001654954-21-009666.txt,0001654954-21-009666.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421009664/0001654954-21-009664.txt,0001654954-21-009664.txt,TRUE,TRUE
3,/Archives/edgar/data/720875/000165495421009662/0001654954-21-009662.txt,0001654954-21-009662.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421009516/0001654954-21-009516.txt,0001654954-21-009516.txt,TRUE,TRUE
S-8,/Archives/edgar/data/720875/000165495421009172/0001654954-21-009172.txt,0001654954-21-009172.txt,FALSE,FALSE
8-K,/Archives/edgar/data/720875/000165495421008628/0001654954-21-008628.txt,0001654954-21-008628.txt,FALSE,FALSE
4,/Archives/edgar/data/720875/000165495421007829/0001654954-21-007829.txt,0001654954-21-007829.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421007810/0001654954-21-007810.txt,0001654954-21-007810.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421007809/0001654954-21-007809.txt,0001654954-21-007809.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421007808/0001654954-21-007808.txt,0001654954-21-007808.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421007807/0001654954-21-007807.txt,0001654954-21-007807.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421007806/0001654954-21-007806.txt,0001654954-21-007806.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421007805/0001654954-21-007805.txt,0001654954-21-007805.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421007804/0001654954-21-007804.txt,0001654954-21-007804.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421007803/0001654954-21-007803.txt,0001654954-21-007803.txt,TRUE,TRUE
8-K,/Archives/edgar/data/720875/000165495421007553/0001654954-21-007553.txt,0001654954-21-007553.txt,FALSE,FALSE
EFFECT,/Archives/edgar/data/720875/999999999521002625/9999999995-21-002625.txt,9999999995-21-002625.txt,FALSE,FALSE
CORRESP,/Archives/edgar/data/720875/000165495421007442/0001654954-21-007442.txt,0001654954-21-007442.txt,FALSE,FALSE
S-3/A,/Archives/edgar/data/720875/000165495421007440/0001654954-21-007440.txt,0001654954-21-007440.txt,FALSE,FALSE
UPLOAD,/Archives/edgar/data/720875/000000000021006534/0000000000-21-006534.txt,0000000000-21-006534.txt,FALSE,FALSE
S-3,/Archives/edgar/data/720875/000165495421006031/0001654954-21-006031.txt,0001654954-21-006031.txt,FALSE,FALSE
8-K,/Archives/edgar/data/720875/000165495421005804/0001654954-21-005804.txt,0001654954-21-005804.txt,FALSE,FALSE
10-Q,/Archives/edgar/data/720875/000165495421005559/0001654954-21-005559.txt,0001654954-21-005559.txt,FALSE,FALSE
8-K,/Archives/edgar/data/720875/000165495421005554/0001654954-21-005554.txt,0001654954-21-005554.txt,FALSE,FALSE
8-K,/Archives/edgar/data/720875/000165495421004817/0001654954-21-004817.txt,0001654954-21-004817.txt,FALSE,FALSE
8-K,/Archives/edgar/data/720875/000165495421004515/0001654954-21-004515.txt,0001654954-21-004515.txt,FALSE,FALSE
4,/Archives/edgar/data/720875/000165495421003908/0001654954-21-003908.txt,0001654954-21-003908.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421003907/0001654954-21-003907.txt,0001654954-21-003907.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421003905/0001654954-21-003905.txt,0001654954-21-003905.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421003904/0001654954-21-003904.txt,0001654954-21-003904.txt,TRUE,TRUE
4,/Archives/edgar/data/720875/000165495421003906/0001654954-21-003906.txt,0001654954-21-003906.txt,TRUE,TRUE
8-K,/Archives/edgar/data/720875/000165495421003877/0001654954-21-003877.txt,0001654954-21-003877.txt,FALSE,FALSE
