Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"11,300,240,540","15,645,648,712","13,438,843,026","13,540,304,600","14,019,842,677","12,472,196,679","12,765,670,059","11,297,213,012","9,316,380,873","6,085,434,517","3,692,038,418","3,395,580,759"
COGS,"11,324,560,852","11,472,502,379","9,085,616,172","7,712,936,683","7,523,277,833","7,657,275,186","7,958,970,205","6,936,346,069","6,463,977,256","5,158,302,614","3,341,872,196","2,591,021,469"
Gross Profit,"-24,320,312","4,173,146,333","4,353,226,854","5,827,367,917","6,496,564,844","4,814,921,493","4,806,699,854","4,360,866,943","2,852,403,617","927,131,903","350,166,222","804,559,290"
Administrative Expenses,"238,727,603","254,163,790","203,149,588","163,009,229","133,091,979","113,724,870","146,150,841","86,423,181","66,714,848","48,845,016","35,943,591","30,094,507"
Selling & Distributive Expenses,"64,260,434","85,341,553","124,744,932","129,666,117","154,584,148","94,163,118","82,621,730","58,400,141","46,242,716","41,199,134","56,245,683","111,490,601"
Financial Charges,"409,702,183","46,065,101","106,531,176","84,961,726","78,116,546","93,741,914","154,675,816","248,972,932","626,060,398","715,246,906","658,589,707","672,716,586"
Other Income,"196,152,112","348,620,307","361,696,624","393,104,388","479,304,653","462,035,354","265,255,098","36,223,304","30,763,468","20,424,475","23,210,906","34,218,809"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"16,456,530","460,124,755","310,145,721","407,910,842","436,009,872","337,886,392","311,907,456","233,753,785","108,164,737","16,484,515","4,835,758","3,291,944"
EBITDA,"651,467,517","4,311,504,604","4,603,049,899","6,017,066,483","6,691,964,306","5,122,655,922","4,903,321,853","4,393,398,842","3,010,421,673","1,152,278,499","532,576,377","856,260,124"
EBIT,"-147,612,767","3,722,136,542","4,076,883,237","5,519,886,117","6,252,183,498","4,731,182,467","4,531,274,925","4,018,513,140","2,662,044,784","841,027,713","276,352,096","693,901,047"
EBT,"-557,314,950","3,676,071,441","3,970,352,061","5,434,924,391","6,174,066,952","4,637,440,553","4,376,599,109","3,769,540,208","2,035,984,386","125,780,807","-382,237,611","21,184,461"
Tax,"-113,579,251","1,207,415,551","990,357,268","1,890,109,541","1,765,991,492","1,315,172,352","1,221,772,596","1,136,907,653","375,473,009","62,064,836","-54,460,469","-5,908,237"
PAT,"-443,735,699","2,468,655,890","2,979,994,793","3,544,814,850","4,408,075,460","3,322,268,201","3,154,826,513","2,632,632,555","1,660,511,377","63,715,971","-327,777,142","27,092,698"
EPS,-2.21,12.29,19.29,22.94,28.53,21.5,20.42,20.45,12.9,0.49,-2.55,0.21
