Year,2020,2019,2018,2017,2016,2015,2014,2014,2013,2012,2011,2010,2009,2008
Sales,"275,216,000","256,670,000","314,298,000","269,224,000","209,733,000","169,766,000","150,028,000","150,028,000","142,246,000","114,662,000","81,038,000","96,036,000","96,786,000","137,781,000"
COGS,"222,117,000","225,710,000","266,145,000","204,528,000","164,372,000","138,341,000","124,400,000","124,400,000","117,781,000","95,981,000","68,255,000","79,591,000","67,712,000","111,930,000"
Gross Profit,"53,099,000","30,960,000","48,153,000","64,696,000","45,361,000","31,425,000","25,628,000","25,628,000","24,465,000","18,681,000","12,783,000","16,445,000","29,074,000","25,851,000"
Administrative Expenses,"10,669,000","9,958,000","10,117,000","9,972,000","6,373,000","5,804,000","7,333,000","7,333,000","8,698,000","5,268,000","8,353,000","11,359,000","16,167,000","9,089,000"
Selling & Distributive Expenses,"35,136,000","33,143,000","40,283,000","44,770,000","34,430,000","24,498,000","18,275,000","18,275,000","10,997,000","10,807,000","9,466,000","11,171,000","10,417,000","13,292,000"
Financial Charges,"7,057,000","5,884,000","4,278,000","1,571,000","352,000","197,000","214,000","214,000","6,009,000","556,000","1,946,000","6,045,000","7,152,000","2,834,000"
Other Income,"4,258,000","5,538,000","5,060,000","4,360,000","4,223,000","3,185,000","2,509,000","2,509,000","2,144,000","956,000","1,090,000","19,665,000","5,964,000","6,243,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"315,000",0,0,"892,000","1,148,000","288,000","116,000","116,000","62,000","206,000",0,"4,964,000","8,158,000","200,000"
EBITDA,"11,509,000","-6,301,000","3,124,000","13,731,000","7,947,000","4,354,000","2,764,000","2,764,000","7,236,000","3,452,000","-3,853,000","8,846,000","1,654,000","11,734,000"
EBIT,"11,237,000","-6,603,000","2,813,000","13,422,000","7,633,000","4,020,000","2,413,000","2,413,000","6,852,000","3,356,000","-3,946,000","8,616,000","296,000","9,513,000"
EBT,"4,180,000","-12,487,000","-1,465,000","11,851,000","7,281,000","3,823,000","2,199,000","2,199,000","843,000","2,800,000","-5,892,000","2,571,000","-6,856,000","6,679,000"
Tax,"4,128,000","3,208,000","3,929,000","3,375,000","2,146,000","1,757,000","1,511,000","1,511,000","711,000","1,147,000","810,000",0,"2,489,000","825,000"
PAT,"52,000","-15,695,000","-5,394,000","8,476,000","5,135,000","2,066,000","688,000","688,000","132,000","1,653,000","-6,702,000","2,571,000","-9,345,000","5,854,000"
EPS,0.04,-10.9,-3.75,5.89,3.57,1.43,0.48,0.48,0.09,1.15,-4.65,1.79,-6.49,4.07
