Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"131,554,000","131,637,000","131,608,000","62,218,000","62,117,000","62,145,000","62,189,000","453,000","491,000","1,879,000","2,080,000","2,644,000","16,496,000"
Investments,"4,201,000","4,390,000","4,589,000","4,290,000","4,510,000","9,172,000","6,616,000","8,167,000","1,599,000",0,0,0,0
Cash in Hand and Bank,"10,859,000","18,284,000","1,139,000","18,192,000","16,632,000","12,221,000","10,154,000","6,491,000","10,847,000","3,970,000","5,537,000","4,722,000","14,737,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,"72,243,000","63,546,000","61,146,000","32,254,000","14,554,000","20,988,000","35,810,000","28,631,000","26,118,000","18,988,000","19,181,000","15,973,000","19,267,000"
Trade Debts,"79,244,000","64,284,000","80,766,000","65,477,000","43,020,000","40,898,000","44,953,000","39,453,000","35,089,000","29,859,000","40,545,000","49,392,000","45,712,000"
Current Assets,"181,911,000","183,823,000","180,551,000","147,513,000","106,612,000","102,420,000","110,074,000","90,231,000","90,917,000","75,397,000","89,662,000","83,918,000","92,934,000"
Quick Assets,"109,668,000","120,277,000","119,405,000","115,259,000","92,058,000","81,432,000","74,264,000","61,600,000","64,799,000","56,409,000","70,481,000","67,945,000","73,667,000"
Total Assets,"324,622,000","324,807,000","320,526,000","215,815,000","175,608,000","171,443,000","179,027,000","98,259,000","93,837,000","78,104,000","92,488,000","86,862,000","110,828,000"
Interest Bearing Long Term Liability,"1,385,000",0,0,0,0,0,0,0,0,0,0,"192,000","429,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"46,344,000","62,303,000","43,193,000","39,834,000","40,000,000","40,000,000","40,000,000","40,000,000","1,836,000","2,822,000","43,780,000","32,963,000","30,152,000"
* Non Interest Bearing Short Term Liability,"144,468,000","130,131,000","129,264,000","92,754,000","60,857,000","71,477,000","71,477,000","51,832,000","85,706,000","70,640,000","31,784,000","39,354,000","50,571,000"
Trades Payables,"143,243,000","128,724,000","128,277,000","91,949,000","60,857,000","71,477,000","71,477,000","46,142,000","85,626,000","70,625,000","31,719,000","39,278,000","49,880,000"
Total Current Liabilities,"191,131,000","192,753,000","172,776,000","132,588,000","100,857,000","101,827,000","111,477,000","91,832,000","87,542,000","73,462,000","75,564,000","72,317,000","80,723,000"
Total Liabilities,"192,516,000","192,753,000","172,776,000","132,588,000","100,857,000","101,827,000","111,477,000","91,832,000","87,542,000","73,462,000","75,564,000","72,509,000","81,152,000"
Paid Up Capital,"14,400,000","14,400,000","14,400,000","14,400,000","14,400,000","14,400,000","14,400,000","14,400,000","14,400,000","14,400,000","14,400,000","14,400,000","14,400,000"
Reserves,"-12,646,000","-12,698,000","2,999,000","8,392,000","-84,000","-5,219,000","-7,285,000","-7,973,000","-8,105,000","-9,758,000","2,524,000","-47,000","10,453,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"130,352,000","130,352,000","130,352,000","60,435,000","60,435,000","60,435,000","60,435,000",0,0,0,0,0,"4,823,000"
Shareholder Equity,"132,106,000","132,054,000","147,751,000","83,227,000","74,751,000","69,616,000","67,550,000","6,427,000","6,295,000","4,642,000","16,924,000","14,353,000","29,676,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,440,000","1,440,000","1,440,000","1,440,000","1,440,000","1,440,000","1,440,000","1,440,000","1,440,000","1,440,000","1,440,000","1,440,000","1,440,000"
