Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Operating Cash Flow,"630,010,000","-213,853,000","-215,414,000","-129,458,000","115,601,000","-170,327,000","46,170,000","285,180,000","-32,074,000"
Captial Expenditure,"4,174,000","1,101,000","3,931,000","19,962,000","4,839,000","2,891,000","19,070,000","15,505,000","7,088,000"
Cashflow from Investing,"6,659,000","14,847,000","172,437,000","-86,031,000","-14,996,000","67,360,000","272,696,000","-109,734,000","164,357,000"
Cash Flow from Financing,"-6,288,000","-8,307,000","-7,851,000","67,841,000","-3,165,000","-2,439,000","-3,683,000","-201,137,000","88,497,000"
Net Change,"630,381,000","-207,313,000","-50,828,000","-147,648,000","97,440,000","-105,406,000","315,183,000","-25,691,000","220,780,000"
Opening Cash,"238,825,000","446,138,000","496,966,000","644,614,000","547,174,000","652,580,000","337,397,000","363,088,000","142,308,000"
Closing Cash,"869,206,000","238,825,000","446,138,000","496,966,000","644,614,000","547,174,000","652,580,000","337,397,000","363,088,000"
FCFF,"625,836,000","-214,954,000","-219,345,000","-149,420,000","110,762,000","-173,218,000","27,100,000","269,675,000","-39,162,000"
FCFE,"619,548,000","-223,261,000","-227,196,000","-81,579,000","107,597,000","-175,657,000","23,417,000","68,538,000","49,335,000"
