Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Operating Cash Flow,"3,639,947,000","1,670,790,000","1,883,709,000","1,517,410,000","1,191,568,000","1,405,243,000","1,652,146,000","806,912,000","964,204,000","368,273,000","351,377,000"
Captial Expenditure,"1,068,556,000","1,048,982,000","94,702,000","200,386,000","341,666,000","842,692,000","429,088,000","69,896,000","360,114,000","48,481,000","16,432,000"
Cashflow from Investing,"-1,064,794,000","-1,042,445,000","-77,091,000","-182,195,000","-330,757,000","-784,673,000","-397,293,000","-54,237,000","-345,950,000","-48,445,000","-16,277,000"
Cash Flow from Financing,"-2,061,636,000","-216,340,000","-2,737,580,000","-1,152,012,000","-457,309,000","-771,089,000","-1,133,265,000","-614,356,000","-529,800,000","-301,517,000","-208,610,000"
Net Change,"513,517,000","412,005,000","-930,962,000","183,203,000","403,502,000","-150,519,000","121,588,000","138,319,000","88,454,000","18,311,000","126,490,000"
Opening Cash,"175,822,000","-236,183,000","694,779,000","511,576,000","108,074,000","258,593,000","137,005,000","-1,314,000","-89,768,000","-108,079,000","-234,569,000"
Closing Cash,"689,339,000","175,822,000","-236,183,000","694,779,000","511,576,000","108,074,000","258,593,000","137,005,000","-1,314,000","-89,768,000","-108,079,000"
FCFF,"2,571,391,000","621,808,000","1,789,007,000","1,317,024,000","849,902,000","562,551,000","1,223,058,000","737,016,000","604,090,000","319,792,000","334,945,000"
FCFE,"509,755,000","405,468,000","-948,573,000","165,012,000","392,593,000","-208,538,000","89,793,000","122,660,000","74,290,000","18,275,000","126,335,000"
