Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"13,291,424,000","11,898,430,000","10,745,260,000","9,466,836,000","8,571,097,000","7,787,059,000","6,958,846,000","5,861,096,000","4,940,251,000","4,040,887,000","3,376,511,000"
COGS,"7,861,105,000","6,539,088,000","5,911,696,000","5,264,621,000","4,738,804,000","4,426,989,000","4,051,302,000","3,633,950,000","3,015,502,000","2,506,003,000","2,122,144,000"
Gross Profit,"5,430,319,000","5,359,342,000","4,833,564,000","4,202,215,000","3,832,293,000","3,360,070,000","2,907,544,000","2,227,146,000","1,924,749,000","1,534,884,000","1,254,367,000"
Administrative Expenses,"343,712,000","315,392,000","302,756,000","155,137,000","154,298,000","160,740,000","156,472,000","149,174,000","139,198,000","51,547,000","50,219,000"
Selling & Distributive Expenses,"2,270,003,000","2,682,658,000","2,649,320,000","2,238,606,000","1,954,022,000","1,445,978,000","1,234,866,000","1,004,044,000","850,012,000","786,593,000","797,304,000"
Financial Charges,"135,076,000","69,675,000","26,020,000","34,470,000","36,090,000","49,793,000","9,043,000","8,066,000","6,863,000","12,449,000","22,517,000"
Other Income,"304,339,000","342,115,000","202,771,000","120,343,000","103,174,000","113,582,000","72,549,000","73,820,000","82,582,000","23,576,000","30,161,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"178,067,000","142,016,000","137,533,000","126,587,000","125,372,000","127,212,000","115,857,000","81,316,000","101,126,000","62,012,000","172,832,000"
EBITDA,"3,182,960,000","2,730,458,000","2,111,143,000","1,960,630,000","1,809,058,000","1,798,823,000","1,525,747,000","1,119,311,000","958,959,000","697,494,000","302,964,000"
EBIT,"2,942,876,000","2,561,391,000","1,946,726,000","1,802,228,000","1,701,775,000","1,739,722,000","1,472,898,000","1,066,432,000","916,995,000","658,308,000","264,173,000"
EBT,"2,807,800,000","2,491,716,000","1,920,706,000","1,767,758,000","1,665,685,000","1,689,929,000","1,463,855,000","1,058,366,000","910,132,000","645,859,000","241,656,000"
Tax,"354,862,000","760,146,000","565,033,000","491,669,000","433,557,000","518,108,000","459,100,000","343,194,000","293,437,000","208,396,000","64,864,000"
PAT,"2,452,938,000","1,731,570,000","1,355,673,000","1,276,089,000","1,232,128,000","1,171,821,000","1,004,755,000","715,172,000","616,695,000","437,463,000","176,792,000"
EPS,385.08,274.48,220.16,207.24,200.09,190.29,163.17,116,100.15,71.04,28.71
