Year,2019,2018,2017,2016,2015
Operating Cash Flow,"15,860,000","-27,449,000","-17,147,000","-58,012,000","-77,561,000"
Captial Expenditure,"2,580,000","168,000","-658,000","2,205,000","-15,183,000"
Cashflow from Investing,"4,052,000","-36,252,000","17,624,000","-44,081,000","27,665,000"
Cash Flow from Financing,0,0,"83,772,000","-184,000","35,857,000"
Net Change,"19,912,000","-63,701,000","84,249,000","-102,277,000","-14,039,000"
Opening Cash,"26,464,000","90,165,000","5,916,000","108,193,000","122,232,000"
Closing Cash,"46,376,000","26,464,000","90,165,000","5,916,000","108,193,000"
FCFF,"13,280,000","-27,617,000","-16,489,000","-60,217,000","-62,378,000"
FCFE,"13,280,000","-27,617,000","67,283,000","-60,401,000","-26,521,000"
