Year,2019,2018,2017,2016,2015,2008,2007
Investments,"466,512,000","464,741,000","391,040,000","339,670,000","187,286,000","84,172,000","88,620,000"
Fixed Assets,"191,912,000","191,519,000","180,459,000","173,831,000","184,336,000","113,727,000","102,404,000"
Other Non Current Assets,"66,035,000","33,191,000","32,880,000","33,191,000","33,191,000","554,000","635,000"
Cash in Hand and Bank,"46,376,000","26,464,000","90,165,000","5,916,000","108,193,000","151,974,000","143,232,000"
Other Current Assets,"183,007,000","211,012,000","225,392,000","250,958,000","270,664,000","505,304,000","452,837,000"
Total Assets,"953,842,000","926,927,000","919,936,000","803,566,000","783,670,000","855,731,000","787,728,000"
Under Writing Provisions,"79,307,000","57,545,000","71,839,000","87,642,000","129,121,000","406,078,000","391,014,000"
Creditors and Accruals,"51,478,000","60,440,000","58,159,000","62,418,000","90,821,000","161,602,000","130,416,000"
Other Liabilites,"943,000","833,000","11,065,000","11,002,000","10,316,000","31,137,000","30,692,000"
Total Liabilities,"131,728,000","118,818,000","141,063,000","161,062,000","230,258,000","598,817,000","552,122,000"
Paid Up Capital,"500,000,000","500,000,000","500,000,000","416,180,000","416,180,000","210,000,000","120,000,000"
Reserves,"30,478,000","25,823,000","9,978,000","-34,195,000","-105,269,000","46,914,000","115,606,000"
Preferred Equity,0,0,0,0,0,0,0
Shareholder Equity,"822,114,000","808,109,000","778,873,000","642,504,000","553,412,000","256,914,000","235,606,000"
Paid Up Value,10,10,10,10,10,10,10
Number of Shares,"50,000,000","50,000,000","50,000,000","41,617,977","41,617,977","21,000,000","12,000,000"
Surplus On Revaluation of Assets,"291,636,000","282,286,000","268,895,000","260,519,000","242,501,000",0,0
