Year,2019,2018,2017,2016,2015,2014,2013,2012
Fixed Assets,"7,865,468,000","9,009,210,000","9,018,793,000","9,868,334,000","10,246,139,000","11,048,768,000","8,363,469,000","8,352,537,000"
Investments,"93,481,000","94,835,000","10,118,000","11,043,000","11,253,000","2,389,000",0,0
Cash in Hand and Bank,"153,340,000","3,770,000","622,000","501,747,000","681,102,000","632,348,000","4,877,000","685,741,000"
Stores and Spares,"927,288,000","1,329,595,000","1,246,773,000","976,655,000","933,412,000","881,470,000","809,593,000","696,820,000"
Stock in Trade,"447,890,000",0,0,"349,471,000","406,970,000","337,226,000",0,0
Trade Debts,"17,665,105,000","13,658,828,000","10,849,196,000","8,596,673,000","6,677,326,000","8,480,277,000","10,190,266,000","10,590,535,000"
Current Assets,"21,569,716,000","18,007,231,000","10,600,422,000","12,884,049,000","11,172,980,000","12,522,547,000","13,943,942,000","14,439,681,000"
Quick Assets,"20,194,538,000","16,677,636,000","9,353,649,000","11,557,923,000","9,832,598,000","11,303,851,000","13,134,349,000","13,742,861,000"
Total Assets,"29,557,003,000","27,144,682,000","23,673,428,000","23,817,802,000","21,486,627,000","23,623,260,000","22,350,440,000","22,833,574,000"
Interest Bearing Long Term Liability,0,0,"230,423,000","783,438,000","1,336,453,000","1,813,876,000",0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"13,778,044,000","11,877,274,000","9,217,791,000","9,184,877,000","7,162,584,000","8,095,563,000","9,544,784,000","9,437,779,000"
* Non Interest Bearing Short Term Liability,"926,672,000","2,084,326,000","1,382,631,000","1,211,650,000","579,536,000","1,397,547,000","701,351,000","1,177,491,000"
Trades Payables,"542,252,000","1,885,626,000","1,274,361,000","1,116,226,000","442,653,000","1,203,913,000","518,297,000","917,879,000"
Total Current Liabilities,"14,708,529,000","13,965,667,000","10,600,422,000","10,396,527,000","7,742,120,000","9,493,110,000","10,246,135,000","10,615,270,000"
Total Liabilities,"14,729,664,000","13,971,965,000","10,869,125,000","11,199,172,000","9,100,564,000","11,324,923,000","10,266,357,000","10,631,686,000"
Paid Up Capital,"3,798,387,000","3,798,387,000","3,798,387,000","3,798,387,000","3,798,387,000","3,798,387,000","3,798,387,000","3,453,079,000"
Reserves,"11,028,952,000","9,374,330,000","9,005,916,000","8,820,243,000","8,587,676,000","8,499,950,000","8,285,696,000","8,748,809,000"
Preferred Equity,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0
Shareholder Equity,"14,827,339,000","13,172,717,000","12,804,303,000","12,618,630,000","12,386,063,000","12,298,337,000","12,084,083,000","12,201,888,000"
Paid Up Value,10,10,10,10,10,10,10,10
Number of Shares,"379,838,700","379,838,700","379,838,700","379,838,733","379,838,733","379,838,733","379,838,733","372,081,591"
