Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"43,738,846,000","40,462,093,000","39,925,287,000","32,898,795,000","32,821,044,000","28,897,404,000","24,328,755,000","22,987,048,000","22,507,365,000","21,990,412,000","22,730,921,000","11,414,229,000","10,864,221,000"
Investments,"2,376,610,000","2,814,231,000","6,235,595,000","1,191,794,000","1,082,794,000","1,455,564,000","1,633,315,000","1,460,422,000","1,856,264,000","2,070,941,000","1,952,396,000","1,873,353,000","2,293,912,000"
Cash in Hand and Bank,"359,202,000","241,080,000","1,267,377,000","270,658,000","379,130,000","765,570,000","161,550,000","107,123,000","128,769,000","76,992,000","71,397,000","71,609,000","269,560,000"
Stores and Spares,"223,176,000","227,415,000","193,721,000","175,714,000","188,338,000","150,389,000","145,619,000","129,770,000","101,538,000","86,121,000","83,954,000","86,567,000","66,488,000"
Stock in Trade,"66,536,000","86,229,000","86,196,000","83,160,000","96,189,000","90,715,000","87,021,000","80,533,000","65,589,000","53,833,000","44,435,000","42,867,000","45,721,000"
Trade Debts,"195,492,000","543,377,000","704,692,000","601,610,000","528,735,000","510,208,000","583,847,000","554,553,000","463,439,000","319,190,000","297,459,000","228,534,000","344,743,000"
Current Assets,"5,883,132,000","6,964,185,000","5,931,729,000","6,463,350,000","2,706,451,000","3,875,610,000","3,543,120,000","2,799,116,000","1,990,244,000","1,771,350,000","1,537,611,000","1,462,929,000","2,308,961,000"
Quick Assets,"5,593,420,000","6,650,541,000","5,651,812,000","6,204,476,000","2,421,924,000","3,634,506,000","3,310,480,000","2,588,813,000","1,823,117,000","1,631,396,000","1,409,222,000","1,333,495,000","2,196,752,000"
Total Assets,"55,509,170,000","54,056,149,000","50,539,553,000","42,323,197,000","36,634,127,000","34,340,695,000","29,457,050,000","27,749,493,000","26,948,671,000","26,208,842,000","25,478,213,000","13,987,726,000","14,107,250,000"
Interest Bearing Long Term Liability,"9,536,312,000","11,631,374,000","9,656,299,000","6,816,692,000","2,187,001,000","685,128,000","355,415,000","366,651,000","607,362,000","500,000,000","36,000,000","108,000,000","180,000,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"49,884,000","50,884,000","50,426,000","82,813,000","84,877,000"
Interest Bearing Short Term Liability,"7,437,939,000","4,352,333,000","1,901,002,000","832,443,000","500,000,000","74,392,000","242,195,000","316,581,000","287,542,000","426,233,000","960,088,000","839,230,000","731,940,000"
* Non Interest Bearing Short Term Liability,"2,178,062,000","1,677,278,000","2,174,785,000","1,760,306,000","1,688,274,000","1,670,962,000","1,900,104,000","1,479,155,000","1,360,885,000","1,358,603,000","1,245,632,000","1,379,077,000","1,281,978,000"
Trades Payables,"2,178,062,000","1,677,278,000","1,950,875,000","1,656,447,000","1,603,418,000","1,632,709,000","1,865,041,000","1,458,466,000","1,328,562,000","1,327,119,000","1,219,783,000","1,379,077,000","1,281,978,000"
Total Current Liabilities,"10,042,704,000","6,316,153,000","4,104,239,000","2,592,749,000","2,188,274,000","1,745,354,000","2,179,916,000","1,802,071,000","1,648,427,000","1,832,175,000","2,234,945,000","2,416,141,000","2,186,315,000"
Total Liabilities,"20,583,875,000","19,151,177,000","14,699,171,000","10,218,740,000","5,078,947,000","3,075,554,000","3,177,863,000","2,630,675,000","2,723,301,000","2,748,278,000","2,686,181,000","3,006,542,000","2,847,442,000"
Paid Up Capital,"325,242,000","325,242,000","325,242,000","325,242,000","325,242,000","325,242,000","325,242,000","325,242,000","325,242,000","325,242,000","325,242,000","325,242,000","325,242,000"
Reserves,"5,357,023,000","7,048,990,000","7,984,400,000","7,999,700,000","7,450,423,000","7,160,384,000","6,100,380,000","4,804,851,000","3,911,403,000","3,127,552,000","2,459,020,000","2,031,088,000","2,309,712,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"29,243,030,000","27,530,740,000","27,530,740,000","23,779,515,000","23,779,515,000","23,779,515,000","19,853,565,000","19,988,725,000","19,988,725,000","20,007,770,000","20,007,770,000","8,624,854,000","8,624,854,000"
Shareholder Equity,"34,925,295,000","34,904,972,000","35,840,382,000","32,104,457,000","31,555,180,000","31,265,141,000","26,279,187,000","25,118,818,000","24,225,370,000","23,460,564,000","22,792,032,000","10,981,184,000","11,259,808,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"32,524,200","32,524,200","32,524,200","32,524,170","32,524,170","32,524,170",32,32,"32,524,170","32,524,170","32,524,170,000","32,524,170","32,524,170"
