Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"933,876,238","798,063,305","660,279,069","654,603,204","706,422,030","732,659,578","771,645,037","775,691,042","675,118,707","1,058,615,961","1,042,099,160","690,469,097"
COGS,"715,656,553","649,070,392","522,938,871","494,260,854","487,017,323","529,775,100","517,895,179","533,029,441","581,390,108","752,009,931","638,981,755","420,771,034"
Gross Profit,"218,219,685","148,992,913","137,340,198","160,342,350","219,404,707","202,884,478","253,749,858","242,661,601","93,728,599","306,606,030","403,117,405","269,698,063"
Administrative Expenses,"96,121,872","122,068,992","108,576,801","111,926,897","101,222,847","89,786,543","104,072,687","181,542,850","76,117,648","78,362,732","175,474,798","126,455,068"
Selling & Distributive Expenses,"25,415,414","23,665,353","23,531,334","22,998,285","22,870,862","16,319,903","20,462,227","4,172,534","1,109,819","1,149,732",0,0
Financial Charges,"1,870,419","1,931,493","794,039","717,465","1,536,215","1,785,643","1,316,720","825,718","1,192,707","722,255","583,803","299,654"
Other Income,"48,916,717","34,233,001","54,933,554","29,879,441","37,966,038","55,400,964","15,784,984","65,159,333","22,070,861","23,169,477","21,888,194","32,335,780"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,"180,717,755","77,616,869","97,980,593","94,769,838","176,404,627","202,747,415","205,597,988","188,461,037","109,413,717","325,613,261","325,124,802","245,574,778"
EBIT,"145,599,116","37,491,569","60,165,617","55,296,609","133,277,036","152,178,996","144,999,928","122,105,550","38,571,993","250,263,043","249,530,801","175,578,775"
EBT,"143,728,697","35,560,076","59,371,578","54,579,144","131,740,821","150,393,353","143,683,208","121,279,832","37,379,286","249,540,788","248,946,998","175,279,121"
Tax,"55,266,416","16,595,001","24,742,327","17,482,785","43,595,184","50,677,418","47,636,386","42,870,427","14,426,691","90,447,376","87,131,449","61,347,693"
PAT,"88,462,281","18,965,075","34,629,251","37,096,359","88,145,637","99,715,935","96,046,822","78,409,405","22,952,595","159,093,412","161,815,549","113,931,428"
EPS,9.03,1.94,3.53,3.78,8.99,10.17,9.8,8,2.34,20.29,20.64,14.53
