Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"932,673,000","948,237,000","1,192,352,000","1,126,669,000","1,252,239,000","2,674,709,000","3,054,725,000","3,115,717,000","3,145,950,000","3,053,934,000","2,310,191,000","2,306,323,000"
COGS,"947,029,000","843,143,000","985,842,000","943,971,000","1,078,087,000","2,332,608,000","2,595,819,000","2,518,823,000","2,414,714,000","2,254,547,000","1,829,653,000","1,805,262,000"
Gross Profit,"-14,356,000","105,094,000","206,510,000","182,698,000","174,152,000","342,101,000","458,906,000","596,894,000","731,236,000","799,387,000","480,538,000","501,061,000"
Administrative Expenses,"52,370,000","44,839,000","47,758,000","78,422,000","50,123,000","83,622,000","68,838,000","117,421,000","76,926,000","92,644,000","107,938,000","167,871,000"
Selling & Distributive Expenses,"120,225,000","113,783,000","174,756,000","175,140,000","169,919,000","202,914,000","445,651,000","411,268,000","400,260,000","411,659,000","340,214,000","332,283,000"
Financial Charges,"184,000","26,735,000","28,232,000","1,567,000","593,000","1,112,000","339,000","208,000","877,000","870,000","3,014,000","3,752,000"
Other Income,"128,154,000","148,331,000","70,530,000","1,089,109,000","13,009,000","33,859,000","43,587,000","29,692,000","34,308,000","39,929,000","19,979,000","15,174,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,0,"2,098,000","7,474,000","11,305,000","6,979,000","1,557,000","18,459,000","43,249,000","35,511,000","6,122,000","43,922,000"
EBITDA,"-53,085,000","102,167,000","57,066,000","1,020,938,000","-6,661,000","120,682,000","18,372,000","106,689,000","273,274,000","327,206,000","85,504,000","5,696,000"
EBIT,"-58,797,000","94,803,000","52,428,000","1,010,771,000","-44,186,000","82,445,000","-13,553,000","79,438,000","245,109,000","299,502,000","46,243,000","-27,841,000"
EBT,"-58,981,000","68,068,000","24,196,000","1,009,204,000","-44,779,000","81,333,000","-13,892,000","79,230,000","244,232,000","298,632,000","43,229,000","-31,593,000"
Tax,"72,208,000","44,892,000","35,314,000","29,209,000","-7,701,000","49,316,000","70,660,000","45,305,000","111,951,000","123,312,000","16,770,000","55,256,000"
PAT,"-131,189,000","23,176,000","-11,118,000","979,995,000","112,816,000","32,017,000","-84,552,000","33,925,000","191,777,000","175,320,000","26,459,000","-86,849,000"
EPS,-92.28,16.3,-7.82,689.36,79.36,22.52,-59.48,23.86,134.9,123.33,18.61,-61.09
