Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Investments,"13,849,904,000","12,184,797,000","10,049,444,000","9,725,855,000","9,103,388,000","8,455,634,000","7,458,984,000","6,076,310,000","5,082,078,000","3,822,205,000","1,902,811,000","1,554,039,000"
Fixed Assets,"191,199,000","173,500,000","178,179,000","168,161,000","140,928,000","111,835,000","108,319,000","111,010,000","97,197,000","94,858,000","103,870,000","94,737,000"
Other Non Current Assets,"724,231,000","390,629,000","289,986,000","19,052,000","154,379,000","49,521,000","63,151,000","59,587,000","39,809,000","42,762,000","34,951,000","39,561,000"
Cash in Hand and Bank,"1,148,951,000","1,669,039,000","2,135,456,000","2,167,371,000","1,716,842,000","1,021,045,000","1,010,385,000","1,259,538,000","967,361,000","974,783,000","2,028,132,000","1,670,155,000"
Other Current Assets,"6,174,639,000","6,895,187,000","5,339,139,000","5,145,656,000","4,072,332,000","3,900,746,000","4,171,113,000","3,252,936,000","2,788,390,000","2,736,988,000","2,350,125,000","2,066,680,000"
Total Assets,"22,088,924,000","21,313,152,000","17,992,204,000","17,411,166,000","15,187,869,000","13,538,781,000","12,811,952,000","10,759,381,000","8,974,835,000","7,671,596,000","6,419,889,000","5,425,172,000"
Under Writing Provisions,"7,914,842,000","7,997,798,000","6,503,336,000","6,289,692,000","5,653,766,000","5,237,385,000","5,579,012,000","4,603,868,000","3,732,626,000","3,455,752,000","2,830,414,000","2,583,876,000"
Creditors and Accruals,"4,943,394,000","5,030,703,000","2,472,340,000","2,606,543,000","2,026,176,000","1,592,293,000","1,370,911,000","1,198,167,000","1,102,684,000","921,558,000","680,877,000","526,783,000"
Other Liabilites,"518,627,000","376,596,000","1,894,793,000","1,830,865,000","1,571,173,000","1,286,226,000","1,102,234,000","884,518,000","596,656,000","420,873,000","287,592,000","253,199,000"
Total Liabilities,"13,376,863,000","13,405,097,000","10,870,469,000","10,727,100,000","9,281,465,000","8,115,904,000","8,052,157,000","6,686,553,000","5,431,966,000","4,798,183,000","3,798,883,000","3,363,858,000"
Paid Up Capital,"1,804,465,000","1,804,465,000","1,804,465,000","1,569,100,000","1,569,100,000","1,569,100,000","1,364,435,000","1,186,465,000","988,721,000","790,977,000","659,148,000","659,148,000"
Reserves,"6,907,596,000","6,103,590,000","5,317,270,000","5,030,757,000","4,337,304,000","3,853,777,000","3,395,360,000","2,886,363,000","2,554,148,000","2,082,436,000","1,961,858,000","1,402,166,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"8,712,061,000","7,908,055,000","7,121,735,000","6,599,857,000","5,906,404,000","5,422,877,000","4,759,795,000","4,072,828,000","3,542,869,000","2,873,413,000","2,621,006,000","2,061,314,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"180,446,500","180,446,500","180,446,500","156,910,000","156,910,000","156,910,000","136,443,000","118,647,000","98,872,000","79,097,000","65,915,000","65,915,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
