Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Operating Cash Flow,"796,000","1,103,000","-32,840,000","-1,052,000","-12,760,000","-4,776,000","-4,801,000","70,932,000","-92,922,000","-19,957,000","214,484,000"
Captial Expenditure,"388,000","-438,000","-2,216,000",0,"-2,074,000","-1,138,000","6,479,000",0,"55,000",0,"-6,878,000"
Cashflow from Investing,"-388,000","438,000","35,475,000",0,"14,538,000","1,888,000","-5,529,000",0,"-55,000",0,"8,238,000"
Cash Flow from Financing,0,0,0,0,0,"1,932,000","4,255,000","-54,771,000","93,676,000","13,603,000","-27,610,000"
Net Change,"408,000","1,541,000","2,635,000","-1,052,000","1,778,000","-956,000","-6,075,000","16,161,000","699,000","-6,354,000","195,112,000"
Opening Cash,"-2,960,023,000","-2,961,564,000","-2,964,945,000","-2,963,893,000","-2,965,671,000","-2,964,715,000","-2,958,640,000","-2,974,801,000","-2,975,500,000","-2,969,146,000","-3,164,258,000"
Closing Cash,"-2,959,615,000","-2,960,023,000","-2,962,310,000","-2,964,945,000","-2,963,893,000","-2,965,671,000","-2,964,715,000","-2,958,640,000","-2,974,801,000","-2,975,500,000","-2,969,146,000"
FCFF,"408,000","1,541,000","-30,624,000","-1,052,000","-10,686,000","-3,638,000","-11,280,000","70,932,000","-92,977,000","-19,957,000","221,362,000"
FCFE,"408,000","1,541,000","-30,624,000","-1,052,000","-10,686,000","-1,706,000","-7,025,000","16,161,000","699,000","-6,354,000","193,752,000"
