Year,2009,2008
Operating Cash Flow,"23,627,099","-45,964,237"
Captial Expenditure,"16,952,999","24,133,756"
Cashflow from Investing,"-17,776,277","-23,737,332"
Cash Flow from Financing,"-11,954,600","-44,558,773"
Net Change,"-6,103,778","-114,260,342"
Opening Cash,"-268,021,707","-153,761,365"
Closing Cash,"-274,125,485","-268,021,707"
FCFF,"6,674,100","-70,097,993"
FCFE,"-5,280,500","-114,656,766"
