Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"905,000","4,078,000","6,312,000","22,924,000","35,345,000","39,230,000","103,813,000","103,179,000","158,181,000","243,343,000","127,181,000","133,741,000","249,844,000"
COGS,"6,682,000","8,871,000","24,645,000","59,469,000","46,344,000","60,488,000","93,075,000","91,132,000","138,227,000","207,885,000","102,431,000","128,499,000","193,771,000"
Gross Profit,"-5,777,000","-4,793,000","-18,333,000","-36,545,000","-10,999,000","-21,258,000","10,738,000","12,047,000","19,954,000","35,458,000","24,750,000","5,242,000","56,073,000"
Administrative Expenses,"16,765,000","20,279,000","28,572,000","28,453,000","34,093,000","30,489,000","40,620,000","21,056,000","20,747,000","25,070,000","24,717,000","33,159,000","19,482,000"
Selling & Distributive Expenses,"252,000","853,000","812,000","1,484,000","3,538,000","2,134,000","1,735,000","4,183,000","4,992,000","5,474,000","5,300,000","4,422,000","6,915,000"
Financial Charges,"9,483,000","8,283,000","5,144,000","4,883,000","5,154,000","5,819,000","3,346,000","5,454,000","5,638,000","7,213,000","8,068,000","9,544,000","9,520,000"
Other Income,"695,000","1,596,000","3,057,000",0,"104,000","485,000","2,903,000","11,676,000","9,395,000","4,591,000","6,611,000","12,243,000","5,228,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"23,940,000","67,000",0,0,0,0,0,0,0,0,0,0,"407,000"
EBITDA,"-41,307,000","-20,041,000","-37,415,000","-57,669,000","-39,715,000","-44,561,000","-19,927,000","5,286,000","10,918,000","17,919,000","11,336,000","-9,305,000","44,623,000"
EBIT,"-46,039,000","-24,396,000","-44,660,000","-66,482,000","-48,526,000","-53,396,000","-28,714,000","-1,516,000","3,610,000","9,505,000","1,344,000","-20,096,000","34,497,000"
EBT,"-55,522,000","-32,679,000","-49,804,000","-71,365,000","-53,680,000","-59,215,000","-32,060,000","-6,970,000","-2,028,000","2,292,000","-6,724,000","-29,640,000","24,977,000"
Tax,"-1,139,000","-835,000","-638,000","-862,000","-823,000","-1,417,000","1,096,000","1,261,000","2,379,000","3,142,000","1,314,000","676,000","-33,937,000"
PAT,"-54,383,000","-31,844,000","-49,166,000","-70,503,000","-52,857,000","-57,798,000","-33,156,000","-8,231,000","-4,407,000","-850,000","-8,038,000","-30,316,000","58,914,000"
EPS,0,0,-9.02,-12.94,-9.7,-10.61,-6.08,-1.51,-0.81,-0.16,-1.47,-5.56,10.81
