Year,2020,2019
Operating Cash Flow,"-1,355,181,535","55,688,385"
Captial Expenditure,"-306,085,186","97,885,234"
Cashflow from Investing,"236,224,695","104,852,453"
Cash Flow from Financing,"993,436,091","-203,029,795"
Net Change,"-125,520,749","-42,488,957"
Opening Cash,"-968,194,198","-925,705,241"
Closing Cash,"-1,085,972,999","-968,194,198"
FCFF,"-1,049,096,349","-42,196,849"
FCFE,"-55,660,258","-245,226,644"
