Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"6,071,624,000","6,125,918,000","3,058,815,000","2,816,446,000","2,760,894,000","2,738,935,000","2,591,422,000","1,830,971,000","1,760,540,000","1,660,191,000","1,668,741,000","1,605,041,000","798,571,000"
Investments,"3,858,715,000","6,649,448,000","6,690,038,000","6,888,735,000","6,177,671,000","2,984,899,000","2,029,671,000","1,918,130,000","1,832,300,000","1,264,925,000","1,139,370,000","1,019,574,000","869,231,000"
Cash in Hand and Bank,"186,411,000","198,581,000","151,549,000","347,967,000","198,174,000","2,568,077,000","447,139,000","65,983,000","129,538,000","78,549,000","83,095,000","80,224,000","41,136,000"
Stores and Spares,"243,650,000","193,513,000","189,401,000","203,164,000","206,946,000","172,250,000","145,866,000","121,476,000","139,277,000","112,572,000","113,511,000","71,441,000","61,021,000"
Stock in Trade,"995,749,000","898,201,000","606,005,000","814,283,000","672,600,000","732,744,000","467,011,000","497,139,000","403,373,000","360,247,000","271,940,000","251,451,000","202,291,000"
Trade Debts,"164,498,000","287,846,000","267,764,000","132,533,000","166,050,000","67,985,000","427,585,000","347,524,000","492,887,000","706,993,000","319,421,000","295,019,000","408,961,000"
Current Assets,"10,388,074,000","9,517,800,000","9,388,732,000","6,431,179,000","2,859,070,000","4,977,407,000","2,643,731,000","1,896,435,000","1,843,235,000","1,865,537,000","1,394,141,000","1,053,598,000","990,641,000"
Quick Assets,"9,148,675,000","8,426,086,000","8,593,326,000","5,413,732,000","1,979,524,000","4,072,413,000","2,030,854,000","1,277,820,000","1,300,585,000","1,392,718,000","1,008,690,000","730,706,000","727,329,000"
Total Assets,"21,724,028,000","21,908,622,000","17,798,015,000","15,686,077,000","11,398,361,000","10,114,315,000","6,734,464,000","5,239,546,000","5,177,830,000","4,664,897,000","3,775,278,000","3,554,860,000","2,581,951,000"
Interest Bearing Long Term Liability,"125,047,000",0,"178,166,000","357,583,000","537,000,000","716,417,000","895,834,000","1,075,251,000",0,0,0,0,0
Non Interest Bearing Long Term Liability,"11,214,000","1,214,000","1,214,000","1,214,000","1,037,000","600,000","318,000","2,381,000","2,339,000","2,341,000","2,341,000",0,0
Interest Bearing Short Term Liability,"8,692,318,000","8,933,893,000","7,932,820,000","5,929,013,000","1,737,410,000","1,985,792,000","976,774,000","755,597,000","1,690,116,000","1,877,415,000","1,422,574,000","1,397,733,000","933,200,000"
* Non Interest Bearing Short Term Liability,"819,334,000","1,014,826,000","959,427,000","848,424,000","754,183,000","733,207,000","907,906,000","743,082,000","523,278,000","428,392,000","278,610,000","162,528,000","164,017,000"
Trades Payables,"600,133,000","624,455,000","681,761,000","499,785,000","456,463,000","430,799,000","608,393,000","449,568,000","474,278,000","386,082,000","240,973,000","124,135,000","144,559,000"
Total Current Liabilities,"9,605,517,000","10,057,904,000","8,970,551,000","6,819,059,000","2,518,362,000","2,756,067,000","1,905,967,000","1,505,257,000","2,636,658,000","2,355,830,000","1,717,163,000","1,583,471,000","1,100,802,000"
Total Liabilities,"10,470,052,000","10,554,585,000","9,475,629,000","7,429,795,000","3,273,280,000","3,626,719,000","2,837,149,000","2,647,482,000","2,719,560,000","2,438,734,000","1,776,646,000","1,661,018,000","1,137,472,000"
Paid Up Capital,"1,698,313,000","1,654,508,000","1,600,846,000","1,421,436,000","1,378,044,000","539,507,000","510,231,000","418,222,000","418,222,000","418,222,000","418,222,000","41,822,000","41,822,000"
Reserves,"5,723,351,000","5,856,437,000","5,455,493,000","5,560,864,000","5,466,402,000","4,659,128,000","2,086,009,000","1,434,332,000","1,295,384,000","1,049,557,000","816,052,000","1,081,687,000","1,227,589,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"3,832,312,000","3,843,092,000","1,266,047,000","1,273,982,000","1,280,635,000","1,288,961,000","1,301,075,000","739,510,000","744,664,000","758,384,000","764,358,000","770,333,000","175,068,000"
Shareholder Equity,"11,253,976,000","11,354,037,000","8,322,386,000","8,256,282,000","8,125,081,000","6,487,596,000","3,897,315,000","2,592,064,000","2,458,270,000","2,226,163,000","1,998,632,000","1,893,842,000","1,444,479,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"169,831,300","165,450,800","160,084,600","142,143,666","137,804,309","53,950,701","51,023,144","41,822,250","41,822,250","41,822,250","41,822,250","4,182,200","4,182,200"
