Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"60,043,380,678","38,592,232,373","39,773,629,288","40,769,566,767","41,896,367,476","42,967,113,632","35,953,627,796","37,197,945,111","34,248,163,961","31,777,589,323","16,617,563,469"
Investments,0,0,0,0,0,0,0,"66,916,300","4,503,252,438","4,463,069,207","1,675,785,669"
Cash in Hand and Bank,"562,498,956","326,555,713","197,675,177","147,293,658","483,287,466","428,754,421","1,434,826,086","217,434,545","96,471,497","76,242,043","277,592,136"
Stores and Spares,"2,098,888,058","2,054,694,598","2,089,007,431","2,049,475,897","2,050,290,642","2,068,630,517","2,037,838,649","2,106,731,093","2,019,442,828","1,216,265,750","719,482,502"
Stock in Trade,"787,565,071","293,320,595","386,158,732","337,248,202","630,947,812","348,727,103","539,320,247","667,938,748","54,540,771","23,572,749","1,663,917,185"
Trade Debts,0,"34,865,063","16,531,013","51,016,085","61,149,299","19,858,904","14,415,382","12,739,838","47,585,257","229,460,227","759,205,021"
Current Assets,"6,465,950,584","4,989,660,677","4,678,308,268","4,489,533,727","4,426,809,756","4,028,041,556","5,624,664,138","4,182,840,519","3,076,260,097","3,363,474,027","4,780,371,514"
Quick Assets,"3,579,497,455","2,641,645,484","2,203,142,105","2,102,809,628","1,745,571,302","1,610,683,936","3,047,505,242","1,408,170,678","1,002,276,498","2,123,635,528","2,396,971,827"
Total Assets,"69,135,918,719","46,209,441,515","47,088,681,193","47,904,595,701","48,984,232,641","49,646,470,016","44,239,183,166","44,045,955,593","45,150,574,769","42,217,373,819","25,684,765,954"
Interest Bearing Long Term Liability,0,0,"2,619,199,352","5,181,077,247","8,843,301,941","11,643,686,471","14,486,554,962","18,836,209,425","16,694,036,728","11,341,782,208","12,502,942,180"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,"31,135,199","2,743,613,088","31,135,199","31,135,199","31,135,199"
Interest Bearing Short Term Liability,"22,930,097,763","22,932,282,094","20,271,413,639","17,548,804,653","14,134,966,167","11,329,372,494","8,388,983,513","3,993,077,453","5,285,847,051","7,599,436,390","2,426,507,058"
* Non Interest Bearing Short Term Liability,"21,077,306,786","21,851,590,792","19,232,702,544","16,293,231,870","15,309,000,642","12,300,188,965","9,532,932,027","5,609,751,660","5,570,283,685","4,511,656,323","1,538,477,282"
Trades Payables,"1,816,409,524","5,449,310,577","4,708,220,667","3,467,251,716","4,105,651,488","3,129,544,453","2,838,529,371","2,395,498,348","2,070,387,768","3,245,423,196","1,149,996,223"
Total Current Liabilities,"45,387,759,351","45,988,959,989","40,533,935,590","34,696,588,234","30,123,250,816","24,133,577,770","18,250,664,155","9,602,829,113","10,856,130,736","12,111,092,713","3,964,984,340"
Total Liabilities,"58,399,826,340","51,097,983,335","47,161,242,967","43,497,928,794","42,084,293,341","39,734,683,534","34,999,150,507","31,182,651,626","30,342,513,487","27,154,274,176","18,554,573,149"
Paid Up Capital,"3,924,300,000","3,924,300,000","3,924,300,000","3,924,300,000","5,517,642,690","5,517,642,690","5,517,642,690","5,517,642,690","3,924,300,000","3,924,300,000","3,924,300,000"
Reserves,"-17,934,049,039","-17,507,570,092","-14,438,678,404","-8,597,943,463","-7,931,977,277","-4,495,448,372","-95,496,573","3,401,413,553","6,778,090,108","6,875,208,128","3,205,892,805"
Preferred Equity,0,0,"1,593,342,690","1,593,342,690","1,593,342,690","1,593,342,690","1,593,342,690","159,334,269",0,0,0
Surplus On Revaluation of Assets,"24,745,841,418","8,694,728,272","8,848,473,940","9,080,310,370","9,314,273,887","8,889,592,164","3,817,886,542","3,944,247,724","4,105,671,174","4,263,591,515",0
Shareholder Equity,"10,736,092,379","-4,888,541,820","-72,561,774","6,000,009,597","6,899,939,300","9,911,786,482","9,240,032,659","12,863,303,967","14,808,061,282","15,063,099,643","7,130,192,805"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"392,430,000","392,430,000","392,430,000","392,430,000","392,430,000","392,430,000","392,430,000","392,430,000","392,430,000","392,430,000","392,430,000"
