Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"12,174,418,992","4,533,316,414","3,551,518,706","8,238,583,282","3,542,570,270","2,794,627,675","8,627,668,956","5,697,064,161","3,693,276,506","11,498,673,160","12,496,644,644"
COGS,"10,643,275,951","4,841,635,211","4,781,882,062","6,987,337,826","4,252,903,869","3,882,892,983","6,799,472,513","4,219,244,562","2,492,745,111","8,451,538,320","8,290,723,238"
Gross Profit,"1,531,143,041","-308,318,797","-1,230,363,356","1,251,245,456","-710,333,599","-1,088,265,308","1,828,196,443","1,477,819,599","1,200,531,395","3,047,134,840","4,205,921,406"
Administrative Expenses,"254,473,367","255,106,453","303,490,090","421,320,373","619,814,219","692,043,748","767,765,477","529,881,394","237,491,518","209,452,417","170,988,063"
Selling & Distributive Expenses,"524,761,227","170,130,344","228,633,799","395,184,565","160,945,738","132,504,221","330,617,053","213,598,164","236,694,170","324,409,438","242,731,083"
Financial Charges,"3,300,421,547","2,582,522,419","2,125,212,925","2,178,480,370","2,229,731,740","3,214,341,173","4,659,352,159","2,794,226,564","1,945,608,712","2,427,782,709","2,679,960,045"
Other Income,"1,579,058,848","35,274,335","11,360,665","22,326,912","40,393,041","93,163,918","62,929,423","224,226,126","39,010,251","172,808,272",0
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,556,610","358,805,399",0,"5,026,699","1,506,920","119,169,414",0,0,0,0,"6,701,661"
EBITDA,"3,377,652,105","-4,841,993","-690,725,034","1,530,135,683","-365,257,406","-996,624,660","2,283,179,985","958,566,167","1,391,094,675","3,161,847,907","4,161,177,299"
EBIT,"2,329,410,685","-1,057,086,658","-1,751,126,580","452,040,731","-1,452,207,435","-1,938,818,773","792,743,336","958,566,167","765,355,958","2,686,081,257","3,785,500,599"
EBT,"-971,010,862","-3,639,609,077","-3,876,339,505","-1,726,439,639","-3,681,939,175","-5,153,159,946","-3,866,608,823","-1,835,660,397","-1,180,252,754","258,298,548","1,105,540,554"
Tax,"-318,234,006","-295,936,001","432,075,415","582,485,057","-191,721,822","-849,185,596","-484,452,282","-207,201,229","-885,031,162","-594,950,016","220,491,869"
PAT,"-652,776,856","-3,343,673,076","-4,308,414,920","-2,308,924,696","-3,490,217,353","-4,303,974,350","-3,382,156,541","-1,628,459,168","-295,221,592","853,248,564","885,048,685"
EPS,-1.66,-8.52,-11.43,-6.33,-9.34,-11.41,-9.17,-4.15,-0.75,2.17,2.26
