Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Fixed Assets,"6,419,413,000","1,643,028,000","1,511,909,000","1,420,757,000","1,470,821,000","1,392,241,000","1,116,281,000","833,259,000","733,695,000","630,754,000","582,411,000","548,222,000","409,363,000","332,726,000","282,645,000","266,487,000","252,146,000"
Investments,"45,032,000","45,008,000","595,000,000","1,645,000,000","1,345,000,000","1,168,000,000","1,006,001,000","37,000,000","136,594,000","537,823,000","385,830,000","30,650,000","23,848,000","22,136,000","20,467,000","19,361,000","18,713,000"
Cash in Hand and Bank,"1,273,248,000","154,503,200","610,138,000","556,941,000","455,334,000","383,689,000","439,939,000","733,195,000","430,818,000","539,039,000","461,249,000","88,952,000","247,713,000","82,883,000","35,048,000","40,487,000","57,228,000"
Stores and Spares,"540,000",0,0,"248,000","343,000","77,000",0,"247,000",0,"1,157,000","768,000","140,000",0,"14,418,000","29,998,000","37,922,000","46,811,000"
Stock in Trade,"4,055,327,000","3,970,853,000","3,482,354,000","2,901,903,000","2,967,199,000","2,729,707,000","2,368,302,000","2,205,030,000","2,247,616,000","1,527,032,000","1,281,862,000","1,274,289,000","769,996,000","716,738,000","606,765,000","541,247,000","547,766,000"
Trade Debts,"2,621,262,000","2,167,114,000","1,563,635,000","1,336,061,000","788,405,000","503,726,000","363,975,000","337,155,000","130,112,000","22,325,000","23,735,000","94,518,000","243,079,000","129,434,000","317,722,000","314,364,000","309,961,000"
Current Assets,"9,259,645,000","8,970,446,000","7,930,147,000","7,585,132,000","6,684,071,000","5,909,432,000","5,206,538,000","4,733,714,000","3,808,438,000","3,459,297,000","2,409,258,000","1,652,271,000","1,398,003,000","1,013,982,000","1,019,177,000","961,057,000","985,219,000"
Quick Assets,"5,203,778,000","4,999,593,000","4,447,793,000","4,682,981,000","3,716,529,000","3,179,648,000","2,838,236,000","2,528,437,000","1,560,822,000","1,931,108,000","1,126,628,000","377,842,000","628,007,000","282,826,000","382,414,000","381,888,000","390,642,000"
Total Assets,"15,878,369,000","10,693,121,000","9,524,326,000","9,084,556,000","8,239,266,000","7,391,089,000","6,389,270,000","5,638,165,000","4,626,288,000","4,177,050,000","3,061,997,000","2,276,936,000","1,873,011,000","1,414,731,000","1,365,181,000","1,274,908,000","1,287,478,000"
Interest Bearing Long Term Liability,"3,999,916,000","24,171,000","45,000,000","45,000,000","45,000,000","38,000,000","38,001,000","37,000,000","36,594,000","37,823,000","35,830,000","30,650,000","23,848,000","22,136,000","20,467,000","19,361,000","18,713,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"984,652,000",0,0,0,0,0,0,0,0,0,0,0,"10,667,000","9,986,000","223,782,000","177,499,000","226,658,000"
* Non Interest Bearing Short Term Liability,"2,722,185,000","2,312,920,000","1,640,756,000","1,656,060,000","1,403,702,000","1,454,707,000","1,275,552,000","1,190,303,000","945,337,000","988,890,000","907,760,000","666,182,000","623,504,000","541,043,000","377,833,000","383,751,000","425,935,000"
Trades Payables,"2,722,185,000","2,312,920,000","1,640,756,000","1,656,060,000","1,403,702,000","1,454,707,000","1,275,552,000","1,190,303,000","945,337,000","988,890,000","907,760,000","663,818,000","711,212,000","616,519,000","431,112,000","448,462,000","489,201,000"
Total Current Liabilities,"4,325,671,000","3,051,863,000","2,235,773,000","2,264,332,000","2,025,534,000","1,977,587,000","1,746,343,000","1,554,782,000","1,198,488,000","1,300,867,000","979,146,000","734,907,000","808,720,000","628,422,000","658,696,000","643,619,000","760,146,000"
Total Liabilities,"8,433,780,000","3,201,794,000","2,397,602,000","2,421,962,000","2,188,074,000","2,135,698,000","1,888,623,000","1,717,574,000","1,348,498,000","1,435,750,000","1,101,270,000","841,241,000","899,971,000","717,168,000","746,999,000","729,302,000","841,064,000"
Paid Up Capital,"75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000","75,600,000"
Reserves,"7,368,989,000","7,415,727,000","7,051,124,000","6,586,994,000","5,975,592,000","5,179,791,000","4,425,047,000","3,844,991,000","3,202,190,000","2,665,700,000","1,885,127,000","1,360,095,000","897,440,000","621,963,000","542,582,000","470,006,000","370,814,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"7,444,589,000","7,491,327,000","7,126,724,000","6,662,594,000","6,051,192,000","5,255,391,000","4,500,647,000","3,920,591,000","3,277,790,000","2,741,300,000","1,960,727,000","1,435,695,000","973,040,000","697,563,000","618,182,000","545,606,000","446,414,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000","7,560,000"
