Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Investments,"1,265,566,000","1,200,619,000","1,277,273,000","801,506,000","895,064,000","1,043,878,000","1,117,367,000","1,056,208,000","916,434,000","925,540,000","932,041,000","719,561,000","1,313,616,000"
Fixed Assets,"164,825,000","109,076,000","19,998,000","21,409,000","21,499,000","10,771,000","6,945,000","7,925,000","13,627,000","38,294,000","41,208,000","45,626,000","45,712,000"
Other Non Current Assets,"227,659,000","169,013,000","131,447,000","72,394,000","67,360,000","51,576,000","60,673,000","59,589,000","51,180,000","19,389,000","9,543,000","9,030,000","21,512,000"
Cash in Hand and Bank,"121,116,000","102,396,000","166,460,000","148,016,000","136,364,000","74,558,000","60,618,000","78,598,000","50,432,000","57,999,000","26,520,000","57,435,000","129,940,000"
Other Current Assets,"1,861,501,000","1,701,299,000","1,680,881,000","1,716,553,000","1,622,578,000","1,670,216,000","992,067,000","801,648,000","846,403,000","625,763,000","616,159,000","625,814,000","590,324,000"
Total Assets,"3,640,667,000","3,282,403,000","3,276,059,000","2,759,878,000","2,742,865,000","2,850,999,000","2,237,670,000","2,003,968,000","1,878,076,000","1,666,985,000","1,625,471,000","1,457,466,000","2,101,104,000"
Under Writing Provisions,"1,481,487,000","1,252,694,000","1,221,325,000","1,307,234,000","1,213,422,000","1,350,779,000","784,487,000","607,387,000","610,666,000","478,828,000","468,793,000","517,193,000","611,611,000"
Creditors and Accruals,"483,423,000","398,259,000","361,829,000","220,773,000","288,647,000","255,092,000","353,721,000","381,566,000","339,383,000","292,361,000","295,592,000","261,740,000","240,107,000"
Other Liabilites,"426,576,000","292,891,000","257,278,000","132,223,000","106,588,000","85,081,000","74,427,000","54,560,000","49,947,000","43,911,000","37,542,000","15,243,000","11,711,000"
Total Liabilities,"2,391,486,000","1,943,844,000","1,840,432,000","1,660,230,000","1,608,657,000","1,690,952,000","1,212,635,000","1,043,513,000","999,996,000","815,100,000","801,927,000","794,176,000","863,429,000"
Paid Up Capital,"619,374,000","619,374,000","619,374,000","619,374,000","619,374,000","619,374,000","495,499,000","495,499,000","450,454,000","400,403,000","400,403,000","355,914,000","296,595,000"
Reserves,"629,807,000","719,185,000","365,706,000","480,274,000","514,834,000","540,673,000","529,536,000","464,956,000","427,626,000","451,482,000","423,141,000","307,376,000","941,080,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,249,181,000","1,338,559,000","1,435,627,000","1,099,648,000","1,134,208,000","1,160,047,000","1,025,035,000","960,455,000","878,080,000","851,885,000","823,544,000","663,290,000","1,237,675,000"
Paid Up Value,5,5,5,5,5,5,5,5,5,5,5,5,5
Number of Shares,"123,874,800","123,874,800","123,874,800","123,874,755","123,874,755","123,874,755","99,099,804","99,099,804","90,090,731","80,080,650","80,080,650","71,182,800","59,319,000"
Surplus On Revaluation of Assets,0,0,"450,547,000",0,0,0,0,0,0,0,0,0,0
