Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Operating Cash Flow,"39,544,217,000","24,936,601,000","22,865,943,000","34,758,825,000","6,974,291,000","-23,025,777,000","29,089,548,000","25,270,142,000","18,646,253,000","19,557,385,000","14,628,659,000","8,919,075,000","8,165,914,000","5,942,849,000","-396,291,000","6,177,065,000","7,574,862,000","2,028,505,000"
Captial Expenditure,"2,902,679,000","2,679,041,000","1,382,884,000","3,260,037,000","1,978,393,000","3,257,382,000","3,433,608,000","2,245,686,000","2,241,313,000","2,299,910,000","3,053,408,000","2,328,207,000","3,222,914,000","1,602,801,000","1,207,869,000","767,350,000","605,977,000","370,737,000"
Cashflow from Investing,"-3,600,156,000","613,925,000","-20,708,788,000","-512,336,000","1,272,979,000","1,274,096,000","-7,730,488,000","-8,683,421,000","4,719,380,000","16,035,000","1,120,256,000","-1,371,935,000","-3,242,987,000","-480,239,000","-353,892,000","1,611,453,000","1,070,224,000","-516,876,000"
Cash Flow from Financing,"-10,194,376,000","-19,335,589,000","-16,494,607,000","-9,242,137,000","-8,424,350,000","679,382,000","-19,042,658,000","-20,241,303,000","-16,765,372,000","-16,033,437,000","-11,421,711,000","-6,191,009,000","-7,529,496,000","-5,800,182,000","-2,554,842,000","-4,722,945,000","-7,576,850,000","-2,937,087,000"
Net Change,"25,749,685,000","6,214,937,000","-14,337,452,000","25,004,352,000","-177,080,000","-21,072,299,000","2,316,402,000","-3,654,582,000","6,600,261,000","3,539,983,000","4,327,204,000","1,356,131,000","-2,606,569,000","-337,572,000","-3,305,025,000","3,065,573,000","1,068,236,000","-1,425,458,000"
Opening Cash,"31,886,368,000","25,671,431,000","17,723,324,000","-6,041,304,000","-5,864,224,000","15,281,142,000","13,012,602,000","16,571,069,000","9,963,247,000","6,423,264,000","2,096,060,000","739,929,000","3,344,262,000","3,884,668,000","7,176,453,000","4,108,330,000","3,039,894,000","4,465,580,000"
Closing Cash,"57,709,240,000","31,886,368,000","3,385,872,000","18,963,048,000","-6,041,304,000","-5,864,224,000","15,281,142,000","13,012,602,000","16,571,069,000","9,963,247,000","6,423,264,000","2,096,060,000","739,929,000","3,554,262,000","3,884,668,000","7,176,453,000","4,108,330,000","3,039,894,000"
FCFF,"36,641,538,000","22,257,560,000","21,483,059,000","31,498,788,000","4,995,898,000","-26,283,159,000","25,655,940,000","23,024,456,000","16,404,940,000","17,257,475,000","11,575,251,000","6,590,868,000","4,943,000,000","4,340,048,000","-1,604,160,000","5,409,715,000","6,968,885,000","1,657,768,000"
FCFE,"26,447,162,000","2,921,971,000","4,988,452,000","22,256,651,000","-3,428,452,000","-25,603,777,000","6,613,282,000","2,783,153,000","-360,432,000","1,224,038,000","153,540,000","399,859,000","-2,586,496,000","-1,460,134,000","-4,159,002,000","686,770,000","-607,965,000","-1,279,319,000"
