Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"2,274,272,000","2,493,745,000","1,039,047,000","940,606,000","822,636,000","780,672,000","795,085,000","777,834,000","666,793,000","1,020,812,000","1,061,380,000","1,224,588,000","1,233,231,000"
Investments,"2,448,088,000","2,453,051,000","4,999,793,000","4,734,744,000","4,346,190,000","3,449,498,000","2,871,281,000","2,419,884,000","1,879,763,000","1,723,590,000","1,710,988,000","1,851,521,000","2,737,131,000"
Cash in Hand and Bank,"23,388,000","27,805,000","133,452,000","28,471,000","62,902,000","42,551,000","107,246,000","65,220,000","63,334,000","16,518,000","153,679,000","4,144,000","8,199,000"
Stores and Spares,"169,232,000","185,784,000","168,973,000","163,185,000","11,583,000","66,801,000","71,956,000","78,639,000","65,860,000","66,217,000","72,919,000","83,763,000","77,385,000"
Stock in Trade,"2,130,741,000","821,369,000","1,542,650,000","2,686,682,000","2,266,787,000","87,922,000","407,199,000","662,419,000","586,720,000","840,571,000","1,026,614,000","616,433,000","606,059,000"
Trade Debts,"225,799,000","96,432,000","106,886,000","663,671,000","322,851,000","87,922,000","89,479,000","196,857,000","368,930,000","145,072,000","276,880,000","83,927,000","118,696,000"
Current Assets,"4,374,706,000","2,981,089,000","4,241,081,000","6,829,595,000","4,527,148,000","1,478,746,000","1,482,398,000","1,992,692,000","1,890,341,000","1,796,736,000","2,116,756,000","1,716,209,000","2,279,115,000"
Quick Assets,"2,074,733,000","1,973,936,000","2,529,458,000","3,979,728,000","2,248,778,000","1,324,023,000","1,003,243,000","1,251,634,000","1,237,761,000","889,948,000","1,017,223,000","1,016,013,000","1,595,671,000"
Total Assets,"9,660,753,000","8,287,032,000","10,079,015,000","12,179,588,000","9,484,203,000","5,392,703,000","4,733,001,000","4,808,941,000","4,172,253,000","4,054,871,000","4,436,297,000","4,109,693,000","4,846,690,000"
Interest Bearing Long Term Liability,"255,155,000","280,194,000","354,165,000","386,087,000","471,395,000","285,242,000","61,963,000","34,450,000","19,811,000","15,362,000",0,"55,880,000","168,117,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"2,771,172,000","1,738,844,000","1,600,749,000","2,699,536,000","2,251,912,000","404,230,000","269,432,000","450,481,000","343,031,000","718,953,000","836,431,000","1,015,315,000","1,231,831,000"
* Non Interest Bearing Short Term Liability,"1,122,714,000","733,540,000","1,365,283,000","2,029,782,000","871,181,000","649,315,000","380,615,000","421,521,000","708,166,000","393,873,000","905,667,000","392,896,000","335,135,000"
Trades Payables,"1,068,500,000","691,923,000","1,349,139,000","2,001,890,000","850,158,000","637,632,000","372,447,000","412,519,000","691,904,000","370,138,000","871,469,000","373,887,000","240,819,000"
Total Current Liabilities,"3,926,544,000","2,505,363,000","2,992,976,000","4,733,466,000","3,127,645,000","1,055,403,000","651,811,000","872,849,000","1,051,197,000","1,112,826,000","1,742,098,000","1,408,211,000","1,573,064,000"
Total Liabilities,"4,212,465,000","2,892,969,000","3,355,248,000","5,359,871,000","3,676,478,000","1,341,960,000","725,822,000","908,712,000","1,071,008,000","1,178,545,000","1,813,685,000","1,563,878,000","1,852,686,000"
Paid Up Capital,"776,325,000","776,325,000","776,325,000","776,325,000","776,325,000","621,060,000","621,060,000","564,600,000","564,600,000","564,600,000","564,600,000","564,600,000","513,273,000"
Reserves,"4,671,963,000","4,617,738,000","5,947,442,000","6,043,392,000","5,031,400,000","3,429,683,000","3,386,119,000","3,335,629,000","2,536,645,000","2,311,726,000","2,058,012,000","1,981,215,000","2,480,731,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"5,448,288,000","5,394,063,000","6,723,767,000","6,819,717,000","5,807,725,000","4,050,743,000","4,007,179,000","3,900,229,000","3,101,245,000","2,876,326,000","2,622,612,000","2,545,815,000","2,994,004,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"77,632,500","77,632,500","77,632,500","77,632,491","77,632,491","62,105,993","69,105,993","56,459,993","56,459,993","56,459,993","56,459,993","56,460,000","51,327,300"
