Year,2011,2010
Operating Cash Flow,"-1,233,893,208","3,067,899,418"
Captial Expenditure,"473,366,909","239,448,965"
Cashflow from Investing,"-486,782,519","-229,558,067"
Cash Flow from Financing,"1,902,196,509","-2,811,138,620"
Net Change,"181,520,782","27,202,731"
Opening Cash,"52,417,323","25,214,592"
Closing Cash,"233,938,105","52,417,323"
FCFF,"-1,707,260,117","2,828,450,453"
FCFE,"194,936,392","17,311,833"
