FORM_TYPE,LINK,FILENAME,DOWNLOADED,UPLOADED
4,/Archives/edgar/data/723125/000156218021006571/0001562180-21-006571.txt,0001562180-21-006571.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006570/0001562180-21-006570.txt,0001562180-21-006570.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006569/0001562180-21-006569.txt,0001562180-21-006569.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006568/0001562180-21-006568.txt,0001562180-21-006568.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006567/0001562180-21-006567.txt,0001562180-21-006567.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006566/0001562180-21-006566.txt,0001562180-21-006566.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006565/0001562180-21-006565.txt,0001562180-21-006565.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006564/0001562180-21-006564.txt,0001562180-21-006564.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006563/0001562180-21-006563.txt,0001562180-21-006563.txt,TRUE,TRUE
8-K,/Archives/edgar/data/723125/000072312521000067/0000723125-21-000067.txt,0000723125-21-000067.txt,FALSE,FALSE
424B5,/Archives/edgar/data/723125/000110465921127583/0001104659-21-127583.txt,0001104659-21-127583.txt,FALSE,FALSE
FWP,/Archives/edgar/data/723125/000110465921127305/0001104659-21-127305.txt,0001104659-21-127305.txt,FALSE,FALSE
424B2,/Archives/edgar/data/723125/000110465921126996/0001104659-21-126996.txt,0001104659-21-126996.txt,FALSE,FALSE
4,/Archives/edgar/data/723125/000156218021006485/0001562180-21-006485.txt,0001562180-21-006485.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006484/0001562180-21-006484.txt,0001562180-21-006484.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006483/0001562180-21-006483.txt,0001562180-21-006483.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006482/0001562180-21-006482.txt,0001562180-21-006482.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006481/0001562180-21-006481.txt,0001562180-21-006481.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006480/0001562180-21-006480.txt,0001562180-21-006480.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006479/0001562180-21-006479.txt,0001562180-21-006479.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006478/0001562180-21-006478.txt,0001562180-21-006478.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006477/0001562180-21-006477.txt,0001562180-21-006477.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006464/0001562180-21-006464.txt,0001562180-21-006464.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006463/0001562180-21-006463.txt,0001562180-21-006463.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006462/0001562180-21-006462.txt,0001562180-21-006462.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006461/0001562180-21-006461.txt,0001562180-21-006461.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006460/0001562180-21-006460.txt,0001562180-21-006460.txt,TRUE,TRUE
4,/Archives/edgar/data/723125/000156218021006459/0001562180-21-006459.txt,0001562180-21-006459.txt,TRUE,TRUE
