FORM_TYPE,LINK,FILENAME,DOWNLOADED,UPLOADED
EFFECT,/Archives/edgar/data/727892/999999999521003210/9999999995-21-003210.txt,9999999995-21-003210.txt,FALSE,FALSE
13F-NT,/Archives/edgar/data/727892/000095012321011200/0000950123-21-011200.txt,0000950123-21-011200.txt,FALSE,FALSE
POS AM,/Archives/edgar/data/727892/000119312521240528/0001193125-21-240528.txt,0001193125-21-240528.txt,FALSE,FALSE
10-Q,/Archives/edgar/data/727892/000082002721000076/0000820027-21-000076.txt,0000820027-21-000076.txt,FALSE,FALSE
POS AM,/Archives/edgar/data/727892/000119312521168899/0001193125-21-168899.txt,0001193125-21-168899.txt,FALSE,FALSE
13F-NT,/Archives/edgar/data/727892/000095012321006850/0000950123-21-006850.txt,0000950123-21-006850.txt,FALSE,FALSE
424B3,/Archives/edgar/data/727892/000119312521157315/0001193125-21-157315.txt,0001193125-21-157315.txt,FALSE,FALSE
10-Q,/Archives/edgar/data/727892/000082002721000059/0000820027-21-000059.txt,0000820027-21-000059.txt,FALSE,FALSE
EFFECT,/Archives/edgar/data/727892/999999999521001681/9999999995-21-001681.txt,9999999995-21-001681.txt,FALSE,FALSE
424B3,/Archives/edgar/data/727892/000119312521139046/0001193125-21-139046.txt,0001193125-21-139046.txt,FALSE,FALSE
424B3,/Archives/edgar/data/727892/000119312521138991/0001193125-21-138991.txt,0001193125-21-138991.txt,FALSE,FALSE
424B3,/Archives/edgar/data/727892/000119312521138978/0001193125-21-138978.txt,0001193125-21-138978.txt,FALSE,FALSE
S-3/A,/Archives/edgar/data/727892/000119312521124464/0001193125-21-124464.txt,0001193125-21-124464.txt,FALSE,FALSE
