Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"3,768,756,000","7,122,487,000","6,112,980,000","5,657,541,000","5,758,380,000","4,923,276,000","3,158,800,000","3,503,624,000","4,286,674,000","3,980,258,000","3,906,482,000","2,413,309,000","2,140,261,000"
COGS,"3,598,810,000","6,043,822,000","4,997,062,000","4,611,657,000","4,723,905,000","3,934,624,000","2,647,863,000","2,929,021,000","3,360,971,000","3,170,927,000","2,950,248,000","1,928,143,000","1,628,399,000"
Gross Profit,"169,946,000","1,078,665,000","1,115,918,000","1,045,884,000","1,034,475,000","988,652,000","510,937,000","574,603,000","925,703,000","809,331,000","956,234,000","485,166,000","511,862,000"
Administrative Expenses,"226,126,000","228,443,000","207,076,000","190,385,000","161,827,000","140,238,000","118,245,000","128,970,000","110,125,000","89,192,000","70,293,000","47,762,000","38,261,000"
Selling & Distributive Expenses,"70,816,000","128,681,000","118,783,000","120,014,000","120,344,000","83,263,000","56,556,000","54,754,000","62,059,000","57,830,000","50,786,000","45,970,000","41,057,000"
Financial Charges,"2,991,000","314,000","334,000","360,000","547,000","1,729,000","89,000","126,000","434,000","837,000","1,087,000","4,748,000","1,960,000"
Other Income,"143,544,000","153,881,000","54,180,000","145,961,000","24,838,000","33,742,000","105,383,000","81,374,000","147,257,000","68,185,000","-88,225,000","48,876,000","32,335,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"3,141,000","69,717,000","70,667,000","70,722,000","63,263,000","63,765,000","37,865,000","32,993,000","69,896,000","57,076,000","60,570,000","33,684,000","35,067,000"
EBITDA,"134,315,000","896,875,000","855,190,000","894,787,000","794,714,000","810,958,000","473,208,000","501,830,000","887,421,000","722,902,000","732,104,000","442,038,000","450,897,000"
EBIT,"13,407,000","805,705,000","773,572,000","810,724,000","713,879,000","735,128,000","403,654,000","439,260,000","830,880,000","673,418,000","686,360,000","406,626,000","429,812,000"
EBT,"10,416,000","805,391,000","773,238,000","810,364,000","713,332,000","733,399,000","403,565,000","439,134,000","830,446,000","672,581,000","685,273,000","401,878,000","427,852,000"
Tax,"40,214,000","202,379,000","252,831,000","223,727,000","228,868,000","248,338,000","95,327,000","129,714,000","245,382,000","233,621,000","291,031,000","128,507,000","150,671,000"
PAT,"-29,798,000","603,012,000","520,407,000","586,637,000","484,464,000","485,061,000","308,238,000","309,420,000","585,064,000","438,960,000","394,242,000","273,371,000","277,181,000"
EPS,-1.03,20.94,18.07,20.37,16.82,16.84,10.7,10.74,20.31,15.24,13.69,9.49,9.62
