Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Investments,"175,769,348,000","158,843,190,000","128,449,463,000","98,814,136,000","85,940,253,000","58,999,033,000","41,908,749,000","28,327,956,000","18,207,492,000","12,980,198,000","9,673,115,000","5,579,564,000","2,031,512,000","3,481,067,000"
Fixed Assets,"4,407,526,000","4,504,946,000","3,151,784,000","3,011,063,000","587,169,000","472,008,000","425,654,000","362,082,000","307,935,000","195,156,000","147,039,000","109,055,000","94,579,000","82,029,000"
Other Non Current Assets,"258,048,000","4,384,056,000","328,922,000","299,617,000","182,260,000","96,959,000","94,527,000","32,239,000","20,864,000","23,821,000","22,672,000","20,256,000","10,266,000","3,718,000"
Cash in Hand and Bank,"4,943,260,000","4,094,997,000","5,673,359,000","16,020,175,000","13,331,061,000","7,379,823,000","5,070,940,000","4,945,256,000","4,582,439,000","2,250,153,000","1,084,664,000","2,123,027,000","3,257,997,000","2,109,065,000"
Other Current Assets,"5,043,941,000","1,533,334,000","2,022,486,000","2,331,502,000","2,000,218,000","2,276,111,000","2,113,633,000","623,067,000","429,010,000","338,280,000","421,092,000","492,078,000","248,523,000","175,936,000"
Total Assets,"190,422,123,000","173,360,523,000","139,626,014,000","120,476,493,000","102,040,961,000","69,223,934,000","49,613,503,000","34,290,600,000","23,547,740,000","15,787,608,000","11,348,582,000","8,323,980,000","5,642,877,000","5,851,815,000"
Under Writing Provisions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creditors and Accruals,"172,161,737,000","4,474,642,000","4,669,360,000","5,331,777,000","3,737,787,000","3,032,408,000","2,423,309,000","2,089,978,000","1,895,964,000","1,511,477,000","1,053,429,000","988,413,000","596,090,000","402,039,000"
Other Liabilites,"5,388,180,000","157,480,320,000","124,614,985,000","108,497,876,000","36,914,000","75,598,000","9,397,000","42,921,000","2,640,000","1,642,000","1,044,000","751,000","768,000","558,000"
Total Liabilities,"177,549,917,000","161,954,962,000","129,284,345,000","113,829,653,000","96,971,429,000","65,313,697,000","46,453,638,000","32,047,478,000","1,898,604,000","1,513,119,000","1,054,473,000","989,164,000","596,858,000","402,597,000"
Paid Up Capital,"872,638,000","793,307,000","793,307,000","793,307,000","721,188,000","721,188,000","721,188,000","627,120,000","627,120,000","627,120,000","627,120,000","627,120,000","627,120,000","627,120,000"
Reserves,"11,922,184,000","10,440,228,000","9,569,854,000","5,853,533,000","4,348,344,000","3,189,049,000","2,438,677,000","1,616,002,000","21,022,016,000","13,647,369,000","9,666,989,000","6,707,696,000","4,418,899,000","4,822,098,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"12,872,206,000","11,405,561,000","10,341,669,000","6,646,840,000","5,069,532,000","3,910,237,000","3,159,865,000","2,243,122,000","21,649,136,000","14,274,489,000","10,294,109,000","7,334,816,000","5,046,019,000","5,449,218,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"87,263,800","79,330,700","79,330,700","79,330,700","72,119,000","72,118,800","72,119,000","100,000,000","62,712,000","62,712,000","62,712,000","62,712,000","62,712,000","62,712,000"
Surplus On Revaluation of Assets,"77,384,000","172,026,000","-21,492,000",0,0,0,0,0,0,0,0,0,0,0
