Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"4,637,141,000","3,728,986,000","4,170,397,000","2,802,150,000","3,762,892,000","3,061,737,000","3,330,536,000","3,454,478,000","2,541,537,000","2,739,671,000","2,823,671,000","1,803,234,000"
COGS,"4,332,418,000","3,121,032,000","3,788,510,000","2,849,191,000","3,434,737,000","2,736,332,000","3,074,914,000","3,224,179,000","2,368,501,000","2,375,297,000","2,477,780,000","1,471,620,000"
Gross Profit,"304,723,000","607,954,000","381,887,000","-47,041,000","328,155,000","325,405,000","255,622,000","230,299,000","173,036,000","364,374,000","345,891,000","331,614,000"
Administrative Expenses,"168,213,000","153,825,000","161,769,000","120,339,000","112,288,000","114,798,000","111,391,000","94,618,000","76,083,000","79,833,000","79,213,000","52,647,000"
Selling & Distributive Expenses,"16,934,000","30,536,000","220,794,000","48,081,000","9,066,000","8,494,000","26,756,000","42,925,000","27,257,000","5,940,000","4,985,000","2,571,000"
Financial Charges,"366,148,000","404,358,000","210,375,000","229,421,000","133,202,000","152,869,000","155,329,000","135,271,000","133,720,000","145,310,000","103,958,000","86,594,000"
Other Income,"200,685,000","420,460,000","560,483,000","155,015,000","162,282,000","143,829,000","126,114,000","164,490,000","174,579,000","47,809,000","10,360,000","38,507,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"2,118,000","22,026,000","237,783,000","3,060,000","10,321,000","45,476,000","3,183,000","2,858,000","859,000","12,806,000","11,749,000","14,091,000"
EBITDA,"419,294,000","917,171,000","413,555,000","13,883,000","422,454,000","363,335,000","300,576,000","311,531,000","296,111,000","354,394,000","292,170,000","322,444,000"
EBIT,"318,143,000","822,027,000","322,024,000","-63,506,000","358,762,000","300,466,000","240,406,000","254,388,000","243,416,000","313,604,000","260,304,000","300,812,000"
EBT,"-48,005,000","417,669,000","111,649,000","-292,927,000","225,560,000","147,597,000","85,077,000","119,117,000","109,696,000","168,294,000","156,346,000","214,218,000"
Tax,"67,728,000","110,481,000","38,405,000","-22,883,000","75,491,000","43,657,000","2,893,000","-22,061,000","8,568,000","30,580,000","72,047,000","88,778,000"
PAT,"-115,733,000","307,188,000","73,244,000","-270,044,000","150,069,000","103,940,000","82,184,000","141,178,000","101,128,000","137,714,000","84,299,000","125,440,000"
EPS,-8.58,25.04,5.97,-22.01,12.23,8.47,6.7,12.66,10.43,14.2,11.99,17.85
