Year,2019,2018,2017,2016,2015,2014,2013,2012
Operating Cash Flow,"-28,047,000","102,623,000","167,965,000","-19,531,000","93,197,000","-55,765,994","-60,610,905","498,256,162"
Captial Expenditure,"10,105,000","5,078,000","1,343,000","-4,057,000","2,050,000","-922,000","1,189,011","-8,157,175"
Cashflow from Investing,"-19,720,000","-7,815,000","-2,369,000","7,653,000","88,037,000","-48,539,651","-32,698,931","347,711"
Cash Flow from Financing,"48,051,000","-132,263,000","-126,632,000","-16,317,000","-149,009,000","-164,291,215","184,272,759","-64,334,706"
Net Change,"284,000","-37,455,000","38,964,000","-28,195,000","32,225,000","-268,596,860","90,962,923","434,269,167"
Opening Cash,"17,391,000","54,846,000","15,881,000","44,076,000","11,851,000","280,448,005","189,485,082","-244,784,085"
Closing Cash,"17,675,000","17,391,000","54,845,000","15,881,000","44,076,000","11,851,145","280,448,005","189,485,082"
FCFF,"-38,152,000","97,545,000","166,622,000","-15,474,000","91,147,000","-54,843,994","-61,799,916","506,413,337"
FCFE,"9,899,000","-34,718,000","39,990,000","-31,791,000","-57,862,000","-219,135,209","122,472,843","442,078,631"
