FORM_TYPE,LINK,FILENAME,DOWNLOADED,UPLOADED
DEFA14A,/Archives/edgar/data/788920/000155335021000883/0001553350-21-000883.txt,0001553350-21-000883.txt,FALSE,FALSE
DEF 14A,/Archives/edgar/data/788920/000155335021000882/0001553350-21-000882.txt,0001553350-21-000882.txt,FALSE,FALSE
4,/Archives/edgar/data/788920/000155335021000821/0001553350-21-000821.txt,0001553350-21-000821.txt,TRUE,TRUE
3,/Archives/edgar/data/788920/000155335021000816/0001553350-21-000816.txt,0001553350-21-000816.txt,TRUE,TRUE
4,/Archives/edgar/data/788920/000155335021000806/0001553350-21-000806.txt,0001553350-21-000806.txt,TRUE,TRUE
4,/Archives/edgar/data/788920/000155335021000803/0001553350-21-000803.txt,0001553350-21-000803.txt,TRUE,TRUE
10-K,/Archives/edgar/data/788920/000155335021000795/0001553350-21-000795.txt,0001553350-21-000795.txt,FALSE,FALSE
8-K,/Archives/edgar/data/788920/000155335021000776/0001553350-21-000776.txt,0001553350-21-000776.txt,FALSE,FALSE
8-K,/Archives/edgar/data/788920/000155335021000756/0001553350-21-000756.txt,0001553350-21-000756.txt,FALSE,FALSE
8-K,/Archives/edgar/data/788920/000155335021000747/0001553350-21-000747.txt,0001553350-21-000747.txt,FALSE,FALSE
4,/Archives/edgar/data/788920/000155335021000618/0001553350-21-000618.txt,0001553350-21-000618.txt,TRUE,TRUE
8-K,/Archives/edgar/data/788920/000155335021000483/0001553350-21-000483.txt,0001553350-21-000483.txt,FALSE,FALSE
SD,/Archives/edgar/data/788920/000155335021000482/0001553350-21-000482.txt,0001553350-21-000482.txt,FALSE,FALSE
4,/Archives/edgar/data/788920/000155335021000469/0001553350-21-000469.txt,0001553350-21-000469.txt,TRUE,TRUE
8-K,/Archives/edgar/data/788920/000155335021000336/0001553350-21-000336.txt,0001553350-21-000336.txt,FALSE,FALSE
10-Q,/Archives/edgar/data/788920/000155335021000335/0001553350-21-000335.txt,0001553350-21-000335.txt,FALSE,FALSE
