Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"7,373,162,067","5,744,872,328","8,094,123,091","7,000,955,306","3,370,506,772","1,866,018,730","2,194,025,058","2,926,229,224","3,305,488,947","2,957,377,149","2,436,416,122","1,745,609,302"
COGS,"7,310,900,013","6,423,699,048","7,711,019,879","6,813,735,099","3,265,001,110","1,712,492,339","1,989,779,487","2,634,441,378","2,901,263,836","2,596,351,763","2,170,498,348","1,528,571,786"
Gross Profit,"62,262,054","-678,826,720","383,103,212","187,220,207","105,505,662","153,526,391","204,245,571","291,787,846","404,225,111","361,025,386","265,917,774","217,037,516"
Administrative Expenses,"355,432,212","438,268,935","465,649,383","410,907,504","257,212,245","105,029,418","111,152,490","82,174,916","81,690,024","61,100,950","55,609,577","42,545,785"
Selling & Distributive Expenses,"854,143,010","1,309,604,707","2,475,994,745","2,335,148,674","1,216,258,245","151,065,453","154,831,842","307,287,322","231,378,368","192,671,837","133,944,228","96,814,260"
Financial Charges,"1,752,267,407","1,698,166,696","674,796,714","435,139,468","150,936,517","83,684,102","60,251,090","53,059,821","62,523,204","59,706,424","39,884,219","51,106,291"
Other Income,"98,704,064","98,311,925","17,812,359","37,157,677","28,917,826","8,668,373","17,926,884","10,560,233","25,176,981","33,575,966","21,545,392","24,075,639"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"242,918,870","226,473,573","96,863,213","59,467,972","27,956,611","243,015,556","16,794,113","4,509,697","4,291,406","13,636,902","8,457,166","4,576,538"
EBITDA,"-572,560,964","-1,759,195,451","-1,961,204,203","-2,040,356,314","-1,173,688,884","-273,732,751","2,582,981","-27,840,170","174,606,603","183,714,472","138,712,690","140,302,928"
EBIT,"-1,291,527,974","-2,554,862,010","-2,637,591,770","-2,581,146,266","-1,367,003,613","-336,915,663","-60,605,990","-91,623,856","112,042,294","127,191,663","89,452,195","97,176,572"
EBT,"-3,043,795,381","-4,253,028,706","-3,312,388,484","-3,016,285,734","-1,517,940,130","-420,599,765","-120,857,080","-144,683,677","49,519,090","67,485,239","49,567,976","46,070,281"
Tax,"14,316,124","1,535,908,768","-463,149,882","-728,023,875","-551,020,316","-70,837,098","21,198,765","-16,747,377","13,517,699","25,933,874","22,282,316","-2,510,248"
PAT,"-3,058,111,505","-5,788,937,474","-2,849,238,602","-2,288,261,859","-966,919,814","-349,762,667","-142,055,845","-127,936,300","36,001,391","41,551,365","27,285,660","48,580,529"
EPS,-4.62,-10.96,-5.39,-9.22,-8.75,-11.75,-10.19,-9.18,2.58,2.98,2.15,6.86
