Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"9,607,906,000","9,637,494,000","4,900,613,000","4,920,787,000","4,955,950,000","4,287,788,000","4,324,538,000","2,269,854,000","2,301,552,000","2,337,872,000","2,358,123,000","2,398,223,000"
Investments,0,0,0,0,0,0,0,"50,000,000","49,500,000","8,314,000",0,0
Cash in Hand and Bank,"48,031,000","35,978,000","46,615,000","74,713,000","43,629,000","93,896,000","105,491,000","96,269,000","93,140,000","72,914,000","74,580,000","65,533,000"
Stores and Spares,"1,613,000","1,527,000","1,219,000","1,484,000","2,519,000","2,201,000","2,326,000","1,818,000","1,775,000","942,000","921,000","902,000"
Stock in Trade,"652,000","1,493,000","52,000",0,"1,959,000","1,582,000","1,401,000","1,233,000","1,379,000","822,000","814,000","662,000"
Trade Debts,"16,254,000","35,508,000","34,018,000","11,142,000","91,611,000","89,633,000","80,558,000","36,766,000","30,372,000","26,472,000","35,489,000","24,753,000"
Current Assets,"106,197,000","95,498,000","110,957,000","132,079,000","155,462,000","201,406,000","211,712,000","214,717,000","205,296,000","163,219,000","146,684,000","102,400,000"
Quick Assets,"103,932,000","92,478,000","109,686,000","130,595,000","150,984,000","197,623,000","207,985,000","211,666,000","202,142,000","161,455,000","144,949,000","100,836,000"
Total Assets,"9,720,183,000","9,739,072,000","5,017,650,000","5,058,946,000","5,116,722,000","4,494,504,000","4,539,933,000","2,487,658,000","2,509,298,000","2,503,541,000","2,507,257,000","2,503,073,000"
Interest Bearing Long Term Liability,"692,000","4,866,000","6,907,000","10,049,000","13,514,000",0,0,0,0,0,0,"180,000"
Non Interest Bearing Long Term Liability,"4,430,000","4,180,000","4,180,000","4,180,000","5,822,000","10,715,000","10,384,000","9,476,000","9,201,000","8,129,000","7,404,000","10,061,000"
Interest Bearing Short Term Liability,"4,250,000","7,858,000","84,849,000","104,762,000",0,0,0,0,0,0,"223,000","826,000"
* Non Interest Bearing Short Term Liability,"64,429,000","67,408,000","42,695,000","44,149,000","8,067,000","74,984,000","89,605,000","79,467,000","47,910,000","42,956,000","42,138,000","43,852,000"
Trades Payables,"64,396,000","67,327,000","41,955,000","43,365,000","8,067,000","74,984,000","89,605,000","79,467,000","47,910,000","7,309,000","5,728,000","4,160,000"
Total Current Liabilities,"93,381,000","99,994,000","153,123,000","152,867,000","86,135,000","76,738,000","95,117,000","82,016,000","50,281,000","42,956,000","42,361,000","44,678,000"
Total Liabilities,"350,246,000","376,819,000","376,530,000","398,740,000","355,723,000","306,298,000","347,626,000","270,278,000","243,857,000","242,723,000","247,097,000","260,737,000"
Paid Up Capital,"180,000,000","180,000,000","180,000,000","180,000,000","180,000,000","180,000,000","180,000,000","180,000,000","180,000,000","180,000,000","180,000,000","180,000,000"
Reserves,"132,625,000","104,817,000","69,840,000","68,059,000","146,888,000","172,543,000","157,232,000","197,220,000","231,989,000","213,370,000","197,980,000","164,650,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"9,057,312,000","9,077,436,000","4,391,280,000","4,412,147,000","4,434,111,000","3,835,663,000","3,855,075,000","1,840,160,000","1,853,452,000","1,867,448,000","1,882,180,000","1,897,686,000"
Shareholder Equity,"9,369,937,000","9,362,253,000","4,641,120,000","4,660,206,000","4,760,999,000","4,188,206,000","4,192,307,000","2,217,380,000","2,265,441,000","2,260,818,000","2,260,160,000","2,242,336,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000"
