Year,2019,2018,2017,2016,2012,2011,2010,2009,2008
Fixed Assets,"1,179,345,111","1,267,184,270","1,243,619,923","485,425,500","307,665,223","312,668,105","306,010,499","244,212,020","216,819,132"
Investments,0,"159,912","373,125","586,341","1,439,205","1,652,421","1,865,638","2,077,392","2,289,146"
Cash in Hand and Bank,"182,604,239","171,441,736","464,512,515","259,331,092","76,573,727","70,453,560","163,300,858","232,121,974","75,373,948"
Stores and Spares,"73,912,997","112,574,493","77,578,821","65,326,022","53,455,480","37,133,567","41,848,835","43,949,476","46,333,060"
Stock in Trade,"794,014,705","955,486,260","953,028,677","821,106,124","584,775,761","399,184,633","462,600,508","370,189,424","348,155,372"
Trade Debts,"1,305,532,619","1,319,209,772","1,632,115,491","1,557,228,612","920,734,756","866,752,695","632,843,688","526,560,488","388,554,554"
Current Assets,"3,674,410,710","3,777,560,393","3,527,359,850","3,131,467,295","1,924,462,702","1,631,367,126","1,483,920,186","1,336,274,462","997,292,860"
Quick Assets,"2,806,483,008","2,709,499,640","2,496,752,352","2,245,035,149","1,286,231,461","1,195,048,926","979,470,843","922,135,562","602,804,428"
Total Assets,"4,940,662,983","5,121,670,063","4,786,189,804","3,634,650,713","2,270,627,674","1,997,597,558","1,809,107,771","1,594,109,564","1,224,286,404"
Interest Bearing Long Term Liability,"125,000,000","250,000,000","304,033,268","42,689,126",0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,"17,239,632","14,656,168"
Interest Bearing Short Term Liability,"1,211,456,479","966,760,397","269,214,711","150,059,000","233,370,193","57,790,579","164,927,074","171,346","16,421,278"
* Non Interest Bearing Short Term Liability,"1,402,720,697","1,708,075,045","2,157,059,378","1,684,143,733","1,092,296,943","1,175,069,442","716,680,082","733,965,610","456,578,192"
Trades Payables,"1,402,720,697","1,708,075,045","2,153,288,473","1,681,133,677","1,086,064,279","1,173,173,448","710,811,758","732,617,290","455,121,265"
Total Current Liabilities,"2,709,189,423","2,786,334,680","2,501,305,926","1,903,730,882","1,367,228,008","1,258,172,102","918,664,908","768,815,598","505,152,629"
Total Liabilities,"2,982,764,887","3,220,117,454","2,914,821,274","2,041,433,850","1,403,725,527","1,293,618,198","982,507,731","821,088,907","547,454,680"
Paid Up Capital,"132,000,000","132,000,000","132,000,000","132,000,000","132,000,000","132,000,000","132,000,000","132,000,000","120,000,000"
Reserves,"1,825,898,096","1,769,552,609","1,739,368,530","1,461,216,863","734,902,147","571,979,360","694,600,040","641,020,657","556,831,724"
Preferred Equity,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,957,898,096","1,901,552,609","1,871,368,530","1,593,216,863","866,902,147","703,979,360","826,600,040","773,020,657","676,831,724"
Paid Up Value,10,10,10,10,10,10,10,10,10
Number of Shares,"13,200,000","13,200,000","13,200,000","13,200,000","13,200,000","13,200,000","13,200,000","13,200,000","12,000,000"
