Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"25,306,834,000","26,890,963,000","23,805,845,000","13,632,864,000","12,716,955,000","6,830,753,000","3,361,632,000","3,427,370,000","3,245,352,000","3,388,276,000","3,445,941,000","3,258,357,000","2,522,040,000"
Investments,"390,863,000","254,970,000","396,794,000","566,275,000","710,133,000","934,495,000","1,373,870,000","68,236,000","138,658,000","158,969,000","122,218,000","114,310,000","103,969,000"
Cash in Hand and Bank,"36,558,000","29,535,000","47,052,000","45,814,000","23,002,000","18,354,000","17,116,000","25,548,000","37,728,000","70,688,000","53,652,000","60,689,000","65,529,000"
Stores and Spares,"3,766,674,000","3,484,620,000","2,778,907,000","2,210,312,000","993,623,000","983,385,000","1,181,254,000","967,917,000","869,760,000","1,179,095,000","931,555,000","899,546,000","1,303,721,000"
Stock in Trade,"962,470,000","1,268,194,000","753,638,000","843,820,000","304,530,000","463,456,000","369,872,000","433,768,000","318,503,000","377,854,000","201,186,000","280,588,000","207,491,000"
Trade Debts,"300,648,000","311,488,000","188,272,000","130,767,000",0,0,0,0,0,0,0,0,0
Current Assets,"6,684,679,000","8,093,339,000","6,281,822,000","4,568,768,000","2,004,822,000","2,266,600,000","2,905,175,000","1,533,642,000","1,289,206,000","1,717,555,000","1,239,483,000","1,343,431,000","1,719,948,000"
Quick Assets,"1,955,535,000","3,340,525,000","2,749,277,000","1,514,636,000","706,669,000","819,759,000","1,354,049,000","131,957,000","100,943,000","160,606,000","106,742,000","163,297,000","208,736,000"
Total Assets,"32,921,845,000","35,279,827,000","30,519,561,000","18,806,750,000","15,461,972,000","9,463,836,000","6,430,968,000","5,064,501,000","4,711,564,000","5,365,315,000","4,857,419,000","4,743,510,000","4,382,273,000"
Interest Bearing Long Term Liability,"16,938,437,000","16,900,000,000","14,700,000,000","4,840,508,000","3,982,107,000","122,312,000","163,082,000","203,852,000","888,974,000","1,220,844,000","976,400,000","1,087,500,000","380,500,000"
Non Interest Bearing Long Term Liability,"27,661,000","21,871,000","17,667,000","15,741,000",0,"13,988,000","15,530,000","14,905,000","13,923,000","12,790,000","12,637,000","12,737,000","13,376,000"
Interest Bearing Short Term Liability,"3,101,186,000","3,702,527,000","1,363,947,000","1,560,468,000","248,646,000","128,293,000","140,146,000","236,948,000","636,040,000","1,285,625,000","1,225,228,000","677,437,000","671,874,000"
* Non Interest Bearing Short Term Liability,"2,688,239,000","2,407,520,000","2,220,455,000","959,307,000","1,517,886,000","657,449,000","714,087,000","523,886,000","392,286,000","502,386,000","397,189,000","393,557,000","925,829,000"
Trades Payables,"2,151,495,000","1,863,434,000","1,990,431,000","812,964,000","1,444,716,000","653,940,000","676,921,000","503,741,000","339,905,000","415,135,000","303,019,000","381,485,000","913,588,000"
Total Current Liabilities,"5,888,431,000","6,196,128,000","3,652,506,000","2,571,488,000","1,810,761,000","826,861,000","881,141,000","782,308,000","1,040,162,000","1,799,917,000","1,622,417,000","1,070,994,000","1,597,703,000"
Total Liabilities,"22,868,287,000","23,523,658,000","19,345,813,000","8,345,043,000","6,321,784,000","1,437,795,000","1,566,700,000","1,355,967,000","1,963,544,000","3,033,551,000","2,611,454,000","2,475,106,000","2,224,167,000"
Paid Up Capital,"1,942,950,000","1,766,318,000","1,766,318,000","1,766,318,000","1,766,318,000","1,766,318,000","1,051,380,000","955,801,000","955,801,000","955,801,000","955,801,000","955,801,000","955,801,000"
Reserves,"8,110,608,000","9,989,851,000","9,407,430,000","8,695,389,000","7,373,870,000","6,259,723,000","3,812,888,000","2,752,733,000","1,792,219,000","1,375,963,000","1,290,164,000","1,312,603,000","1,202,305,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"10,053,558,000","11,756,169,000","11,173,748,000","10,461,707,000","9,140,188,000","8,026,041,000","4,864,268,000","3,708,534,000","2,748,020,000","2,331,764,000","2,245,965,000","2,268,404,000","2,158,106,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"194,295,000","176,631,800","176,631,800","176,631,853","176,631,853","176,631,853","105,138,008","95,580,008","95,580,008","95,580,008","95,580,008","95,580,008","95,580,008"
