Year,2012,2011
Operating Cash Flow,"-117,878,525","17,433,304"
Captial Expenditure,"51,351,260","48,148,745"
Cashflow from Investing,"-60,076,843","-59,599,336"
Cash Flow from Financing,"198,050,463","21,633,283"
Net Change,"20,095,095","-20,532,749"
Opening Cash,"-375,820,400","-355,287,651"
Closing Cash,"-355,725,305","-375,820,400"
FCFF,"-169,229,785","-30,715,441"
FCFE,"28,820,678","-9,082,158"
