Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"84,775,972,000","82,412,548,000","77,478,845,000","64,534,021,000","55,022,415,000","45,772,177,000","44,478,713,000","42,325,242,000","38,011,857,000","32,521,399,000","25,554,772,000","19,440,575,000"
COGS,"78,660,040,000","75,856,677,000","69,188,101,000","57,754,987,000","49,376,506,000","41,098,571,000","40,253,929,000","38,646,049,000","35,235,893,000","30,080,978,000","23,555,842,000","18,093,248,000"
Gross Profit,"6,115,932,000","6,555,871,000","8,290,744,000","6,779,034,000","5,645,909,000","4,673,606,000","4,224,784,000","3,679,193,000","2,775,964,000","2,440,421,000","1,998,930,000","1,347,327,000"
Administrative Expenses,"652,273,000","640,209,000","634,594,000","602,343,000","499,915,000","432,622,000","430,054,000","387,477,000","335,654,000","310,742,000","264,739,000","220,210,000"
Selling & Distributive Expenses,"1,981,571,000","1,924,062,000","1,852,057,000","1,630,773,000","1,456,152,000","1,314,231,000","1,293,938,000","1,206,648,000","965,883,000","815,463,000","690,794,000","352,252,000"
Financial Charges,"56,718,000","25,818,000","22,725,000","25,853,000","15,280,000","8,190,000","8,036,000","9,726,000","11,717,000","93,475,000","112,613,000","361,067,000"
Other Income,"1,375,391,000","1,113,334,000","928,515,000","977,417,000","680,549,000","570,207,000","420,651,000","322,668,000","274,453,000","299,337,000","233,205,000","173,103,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"388,968,000","463,793,000","445,037,000","404,740,000","310,682,000","245,132,000","223,989,000","190,453,000","117,162,000","109,597,000","86,758,000","34,072,000"
EBITDA,"5,769,131,000","5,723,552,000","7,196,626,000","5,921,216,000","4,753,358,000","3,905,775,000","3,336,737,000","2,840,743,000","2,130,491,000","1,973,724,000","1,641,417,000","1,348,674,000"
EBIT,"4,468,511,000","4,641,141,000","6,287,571,000","5,118,595,000","4,059,709,000","3,251,828,000","2,697,454,000","2,217,283,000","1,631,718,000","1,503,956,000","1,189,844,000","913,896,000"
EBT,"4,411,793,000","4,615,323,000","6,264,846,000","5,092,742,000","4,044,429,000","3,243,638,000","2,689,418,000","2,207,557,000","1,620,001,000","1,410,481,000","1,077,231,000","552,829,000"
Tax,"1,333,393,000","1,406,664,000","1,601,211,000","1,340,263,000","1,042,630,000","892,747,000","687,858,000","599,753,000","415,892,000","407,925,000","364,773,000","188,069,000"
PAT,"3,078,400,000","3,208,659,000","4,663,635,000","3,752,479,000","3,001,799,000","2,350,891,000","2,001,560,000","1,607,804,000","1,204,109,000","1,002,556,000","712,458,000","364,760,000"
EPS,24.81,31.03,45.1,36.29,29.03,22.73,19.36,19.44,16.74,16.03,13.1,6.71
