Year,2013,2012,2011,2010,2009,2008,2007
Realised Income,"1,651,213,000","785,543,000","1,376,168,000","1,249,190,000","-1,503,340,000","718,721,000","1,628,507,000"
Unrealised Income,"363,229,000","-53,416,000","44,791,000","-480,082,000","-673,200,000","-1,009,969,000","498,733,000"
Rumenaration Fees,"204,966,000","153,438,000","168,393,000","164,644,000","145,819,000","269,194,000","264,727,000"
Operating Expenses,0,0,"54,386,000","52,771,000","20,592,000","38,539,000","73,345,000"
EBT,"1,706,814,000","509,283,000","1,198,180,000","551,693,000","-2,342,951,000","-598,981,000","1,789,168,000"
Tax,0,0,0,0,0,0,0
PAT,"1,706,814,000","509,283,000","1,198,180,000","551,693,000","-2,342,951,000","-598,981,000","1,789,168,000"
EPS,6.02,1.8,4.23,1.95,-8.26,-2.11,6.31
